,2024-09-01,2024-09-02,2024-09-03,2024-09-04,2024-09-05,2024-09-06,2024-09-07,2024-09-08,2024-09-09,2024-09-10,2024-09-11,2024-09-12,2024-09-13,2024-09-14,2024-09-15,2024-09-16,2024-09-17,2024-09-18,2024-09-19,2024-09-20,2024-09-21,2024-09-22,2024-09-23,2024-09-24,2024-09-25,2024-09-26,2024-09-27,2024-09-28,2024-09-29,2024-09-30,Workday,7 Day,Count
00:00:00,456,254,250,217,231,253,625,549,247,392,389,380,640,464,497,266,447,370,377,613,467,484,209,332,325,222,349,506,540,212,332,383,11563
01:00:00,339,115,100,103,116,137,387,375,115,262,299,263,386,316,339,161,239,233,308,418,323,351,174,163,234,135,217,262,385,111,204,244,7366
02:00:00,289,139,129,61,71,172,294,289,147,252,241,196,326,314,286,96,181,207,167,302,203,292,88,83,172,106,164,217,257,83,161,193,5824
03:00:00,287,242,192,92,110,129,352,336,180,159,174,266,233,205,295,144,195,156,132,230,206,290,150,116,183,123,145,193,343,123,165,198,5981
04:00:00,194,214,210,167,166,223,266,227,225,200,167,184,222,188,188,222,169,156,176,245,169,200,213,176,181,171,198,165,203,177,193,195,5862
05:00:00,155,288,325,338,311,306,177,165,296,349,365,285,314,179,130,292,355,356,334,328,165,138,289,335,380,350,334,145,135,298,325,276,8217
06:00:00,267,907,941,980,948,858,383,255,952,992,978,992,828,361,296,917,1009,994,972,882,421,263,910,1032,1092,987,928,377,277,913,953,773,22912
07:00:00,471,2190,2227,2203,2094,2014,710,459,2158,2230,2194,2108,1964,696,448,2117,2251,2260,2269,1984,703,471,2168,2234,2154,2245,2014,671,405,2014,2147,1694,50126
08:00:00,627,2492,2721,2627,2470,2411,1113,645,2456,2530,2484,2478,2505,1121,601,2380,2554,2604,2502,2533,1217,662,2629,2631,2559,2525,2375,1200,491,2440,2519,2043,60583
09:00:00,897,1714,1920,1917,1931,1743,1830,951,1724,2000,1978,1870,1846,1656,911,1913,1930,2002,2038,1778,1608,915,1937,2081,2006,1922,1728,1784,707,1865,1897,1713,51102
10:00:00,1293,1505,1608,1792,1703,1741,2107,1299,1569,1738,1771,1716,1684,2142,1358,1538,1742,1626,1705,1709,2050,1317,1519,1649,1659,1682,1709,2056,1040,1607,1665,1655,49634
11:00:00,1653,1629,1635,1847,1757,1862,2237,1602,1740,1725,1698,1697,1827,2204,1579,1613,1574,1618,1682,1815,2179,1942,1608,1603,1661,1710,1840,2288,1214,1686,1706,1755,52725
12:00:00,1943,1740,1748,1988,1883,1951,2365,2024,1710,1800,1964,1814,2050,2333,1949,1688,1697,1830,1893,1959,2226,2320,1673,1721,1854,1846,2036,2372,1482,1836,1842,1919,57695
13:00:00,2092,1865,1821,2154,2004,2115,2323,2117,1900,1704,2109,1995,2193,2373,2213,1934,1878,2154,2010,2012,2366,2096,1884,1888,2163,1953,2136,2347,1609,1982,1993,2044,61390
14:00:00,2103,1956,2045,2172,2023,2271,2276,2176,2060,2086,2178,2060,2257,2370,2192,1925,1982,2066,2114,2249,2317,2452,1906,1949,2139,2088,2267,2319,1608,1998,2085,2118,63604
15:00:00,2144,2243,2321,2165,2330,2506,2230,2171,2271,2297,2174,2206,2382,2208,2137,2204,2250,2226,2283,2394,2164,2203,2248,2274,2270,2438,1913,2264,1552,2228,2268,2225,66696
16:00:00,1837,2410,2510,2422,2425,2428,1975,2041,2430,2580,2554,2312,2484,2205,2109,2477,2415,2470,2424,2469,2128,2047,2389,2470,2567,2418,1372,2271,1617,2496,2406,2297,68752
17:00:00,1629,2394,2556,2502,2511,2440,1804,2043,2452,2511,2459,2416,2516,1984,1919,2464,2591,2455,2372,2375,1913,1844,2494,2575,2570,2463,2396,1956,1413,2462,2475,2292,68479
18:00:00,1671,1930,2195,2131,2300,2137,1639,1682,2089,2244,2317,2337,2250,1859,1807,2101,2123,2255,2320,2227,1620,1692,2063,2228,2470,2310,2355,1910,1335,1998,2209,2061,61595
19:00:00,1271,1564,1736,1813,1915,1757,1573,1347,1692,1779,1953,1940,1929,1580,1512,1703,1849,1919,1935,1984,1547,1458,1677,1840,1900,1892,2020,1726,1131,1697,1833,1727,51639
20:00:00,1072,1249,1225,1358,1419,1502,1211,1104,1436,1246,1543,1575,1416,1193,1090,1348,1413,1498,1671,1555,1135,1037,1244,1370,1366,1395,1535,1384,907,1390,1417,1334,39887
21:00:00,688,754,942,926,972,1609,779,793,1374,1513,1624,1770,1097,832,713,1504,1682,1660,1779,1215,903,698,1488,1387,958,1042,1301,951,673,1250,1326,1170,34877
22:00:00,459,552,503,559,683,1302,642,555,1015,1004,1131,1239,908,707,602,1022,938,1059,1207,856,708,481,964,988,658,718,767,765,420,877,902,814,24289
23:00:00,350,337,321,382,443,761,561,371,610,606,634,840,615,581,397,618,620,722,826,569,583,392,645,659,426,469,613,668,350,581,586,553,16550
