,2024-04-01,2024-04-02,2024-04-03,2024-04-04,2024-04-05,2024-04-06,2024-04-07,2024-04-08,2024-04-09,2024-04-10,2024-04-11,2024-04-12,2024-04-13,2024-04-14,2024-04-15,2024-04-16,2024-04-17,2024-04-18,2024-04-19,2024-04-20,2024-04-21,2024-04-22,2024-04-23,2024-04-24,2024-04-25,2024-04-26,2024-04-27,2024-04-28,2024-04-29,2024-04-30,Workday,7 Day,Count
00:00:00,1,2,17,5,18,4,2,2,19,17,20,5,4,4,6,2,6,5,3,5,3,4,17,4,2,4,6,3,4,17,8,7,211
01:00:00,1,2,15,4,20,5,2,2,17,18,17,5,1,2,2,3,4,8,3,2,2,2,13,4,11,7,4,1,2,14,8,6,193
02:00:00,2,7,30,7,17,3,0,4,11,26,26,4,4,2,2,3,2,5,6,6,1,5,8,5,5,11,5,1,5,21,10,8,234
03:00:00,3,7,28,13,8,14,2,6,12,31,30,13,8,2,5,10,8,8,5,9,0,9,13,7,9,5,9,1,9,9,11,10,293
04:00:00,6,16,9,12,16,9,1,16,13,15,13,11,12,0,16,13,16,12,11,11,4,15,15,13,18,15,9,2,12,11,13,11,342
05:00:00,11,29,30,21,25,12,1,13,24,16,21,29,14,4,25,33,29,17,19,12,4,18,25,29,25,22,8,3,23,36,24,19,578
06:00:00,11,21,22,29,26,12,10,30,36,24,40,30,16,4,25,32,26,36,33,14,5,32,37,37,34,28,17,4,33,31,30,24,735
07:00:00,9,37,31,33,33,29,4,39,40,27,32,33,32,6,38,29,46,42,26,23,11,35,33,42,29,38,15,3,31,41,34,29,867
08:00:00,6,24,23,32,42,22,3,31,29,26,26,43,17,2,19,20,37,28,33,22,6,28,32,35,33,35,19,1,30,28,29,24,732
09:00:00,7,34,29,31,33,17,3,35,38,28,42,46,23,2,20,28,50,40,45,19,4,30,32,35,35,36,17,2,35,34,34,27,830
10:00:00,9,34,33,43,44,13,0,61,38,33,40,54,15,2,39,41,52,51,53,16,3,40,54,52,39,39,8,2,50,37,43,32,995
11:00:00,7,36,38,41,35,26,3,38,43,49,46,53,14,3,29,31,50,47,43,16,5,36,41,52,28,31,7,5,47,51,40,31,951
12:00:00,8,40,32,29,40,16,3,34,36,45,50,46,15,5,42,35,50,46,46,12,7,37,43,45,39,43,13,3,46,44,40,31,950
13:00:00,8,29,36,48,29,9,2,25,20,35,30,48,16,3,31,28,53,42,35,5,5,32,29,39,41,30,10,2,46,36,34,26,802
14:00:00,3,23,33,32,39,9,1,39,34,33,41,37,11,3,39,30,35,43,27,9,4,32,29,34,32,27,4,3,33,47,33,25,766
15:00:00,5,33,27,35,28,8,3,29,41,38,41,34,10,2,32,30,37,35,28,7,0,30,24,31,28,30,8,1,35,42,32,24,732
16:00:00,7,18,21,22,15,5,1,30,22,25,27,31,4,4,30,25,26,40,20,1,7,24,32,22,32,22,6,5,34,34,25,19,592
17:00:00,10,9,13,12,11,6,1,10,16,16,13,26,5,2,11,17,22,38,16,5,0,15,16,19,13,12,5,8,19,11,16,12,377
18:00:00,3,11,15,16,9,5,5,13,17,10,15,7,4,3,12,12,16,21,12,4,1,14,9,19,15,8,4,3,5,9,12,10,297
19:00:00,5,11,7,8,5,4,3,7,5,11,10,9,7,6,12,7,12,17,8,3,4,8,7,12,10,6,3,5,18,8,9,8,238
20:00:00,2,5,10,4,3,3,3,6,5,13,3,6,6,2,5,9,9,11,8,1,4,6,8,9,6,4,2,0,7,10,7,6,170
21:00:00,4,16,7,20,3,4,0,18,19,15,8,3,1,3,4,8,5,14,4,5,2,21,4,2,6,6,1,1,15,16,10,8,235
22:00:00,4,18,3,25,6,2,3,13,15,16,5,2,2,3,5,6,3,5,3,1,2,22,4,2,4,4,2,1,20,25,10,7,226
23:00:00,3,21,7,26,6,2,1,16,18,27,4,3,3,3,4,4,4,8,4,0,4,20,1,5,2,4,0,3,23,25,11,8,251
