,2024-08-01,2024-08-02,2024-08-03,2024-08-04,2024-08-05,2024-08-06,2024-08-07,2024-08-08,2024-08-09,2024-08-10,2024-08-11,2024-08-12,2024-08-13,2024-08-14,2024-08-15,2024-08-16,2024-08-17,2024-08-18,2024-08-19,2024-08-20,2024-08-21,2024-08-22,2024-08-23,2024-08-24,2024-08-25,2024-08-26,2024-08-27,2024-08-28,2024-08-29,2024-08-30,2024-08-31,Workday,7 Day,Count
00:00:00,6,8,2,1,0,5,14,20,20,5,3,5,22,23,16,23,3,2,3,17,4,7,7,1,2,1,3,1,6,2,0,10,8,232
01:00:00,4,4,1,2,2,3,14,17,15,4,2,2,13,16,16,18,1,1,6,15,1,3,3,2,2,3,6,2,7,3,3,8,6,191
02:00:00,6,6,4,1,4,6,29,23,26,5,2,3,26,17,23,12,5,3,6,8,9,6,5,6,3,7,7,7,5,9,6,11,9,285
03:00:00,11,10,9,4,6,9,26,24,26,9,1,9,27,9,26,14,7,3,14,10,5,9,8,7,2,5,6,3,10,9,9,13,11,327
04:00:00,20,13,10,0,9,15,17,16,21,6,1,15,13,11,11,10,9,1,11,13,16,14,13,7,2,12,14,18,17,10,9,14,11,354
05:00:00,18,15,13,4,11,23,23,23,23,8,9,18,25,23,25,23,11,3,22,30,22,20,29,8,4,22,26,17,23,25,9,22,18,555
06:00:00,26,29,19,5,6,27,28,19,36,11,5,18,30,29,34,27,17,3,28,36,25,34,31,12,6,19,33,29,31,29,11,27,22,693
07:00:00,31,30,21,5,1,34,50,35,35,10,6,38,37,30,37,30,19,4,37,34,41,33,40,22,4,38,43,36,54,35,18,35,29,888
08:00:00,34,26,18,2,12,48,49,41,33,14,8,32,37,37,36,36,20,3,28,31,27,42,31,12,3,28,30,16,29,33,14,33,26,810
09:00:00,27,37,13,6,11,34,47,38,35,12,3,35,39,32,36,32,11,5,30,35,34,38,25,17,5,25,31,35,28,38,16,33,26,810
10:00:00,40,38,18,4,9,49,59,37,41,18,4,29,32,33,34,34,9,3,31,37,39,37,37,10,6,32,39,39,43,46,13,37,29,900
11:00:00,31,30,11,2,8,47,61,49,35,15,3,37,40,47,40,32,7,4,38,39,34,46,34,12,6,43,42,34,44,41,12,39,30,924
12:00:00,39,31,9,3,6,37,48,39,27,4,3,31,27,30,36,33,8,2,37,29,38,29,32,9,2,28,36,30,39,32,10,32,25,764
13:00:00,41,23,8,4,7,48,43,40,30,8,2,27,30,34,25,30,6,2,22,31,32,32,31,4,5,31,29,31,25,36,5,31,23,722
14:00:00,34,26,6,1,2,49,46,30,24,6,1,28,31,46,29,27,8,1,32,27,31,33,30,9,7,20,33,26,39,25,2,30,23,709
15:00:00,29,29,7,5,1,36,31,25,29,5,5,37,43,31,51,35,4,4,22,21,20,28,22,5,1,23,26,27,28,23,4,28,21,657
16:00:00,22,19,6,4,5,28,31,23,13,8,5,22,22,22,28,16,9,3,27,14,23,21,20,5,3,21,23,17,24,18,4,21,16,506
17:00:00,14,17,7,0,6,24,16,16,15,2,4,10,16,13,10,16,3,2,11,18,17,10,19,1,2,18,9,12,14,11,3,14,11,336
18:00:00,9,12,3,7,4,22,12,12,9,2,8,11,9,9,14,8,4,4,7,8,9,13,8,2,5,12,13,19,10,5,5,11,9,275
19:00:00,15,7,6,4,6,18,11,10,14,0,9,16,10,13,13,5,3,3,14,11,12,12,5,3,5,12,8,21,8,4,0,11,9,278
20:00:00,6,6,3,3,3,8,4,8,3,3,2,5,6,10,9,3,4,3,4,6,7,2,6,1,3,2,8,5,5,6,3,6,5,147
21:00:00,8,7,2,2,6,30,23,20,7,3,3,18,14,27,17,6,1,4,23,7,6,8,4,1,4,5,4,3,5,4,1,11,9,273
22:00:00,4,8,1,3,2,19,17,19,8,3,5,19,15,15,29,1,4,5,19,5,3,8,1,1,4,4,3,5,9,4,1,10,8,244
23:00:00,7,2,2,1,6,19,27,26,7,5,0,17,22,23,25,3,1,10,22,4,4,5,2,1,6,2,5,5,7,2,0,11,9,268
