,2023-02-01,2023-02-02,2023-02-03,2023-02-04,2023-02-05,2023-02-06,2023-02-07,2023-02-08,2023-02-09,2023-02-10,2023-02-11,2023-02-12,2023-02-13,2023-02-14,2023-02-15,2023-02-16,2023-02-17,2023-02-18,2023-02-19,2023-02-20,2023-02-21,2023-02-22,2023-02-23,2023-02-24,2023-02-25,2023-02-26,2023-02-27,2023-02-28,Workday,7 Day,Count
00:00:00,2,1,1,4,2,2,0,1,2,3,4,3,1,2,1,4,24,2,1,2,4,5,2,1,3,3,5,2,3,3,87
01:00:00,2,3,2,3,1,0,0,2,3,2,4,2,1,4,1,7,10,3,1,3,2,4,3,3,1,1,1,6,3,3,75
02:00:00,5,4,3,4,1,3,3,2,2,2,5,1,6,8,4,4,8,2,1,8,6,4,6,5,5,1,5,3,5,4,111
03:00:00,6,7,8,9,0,5,7,10,10,11,9,0,6,2,10,10,10,8,0,9,10,9,9,14,10,0,12,5,8,7,206
04:00:00,8,14,8,10,0,7,11,4,10,10,10,0,18,14,6,11,8,5,1,9,13,9,14,10,3,2,11,15,10,9,241
05:00:00,18,14,20,9,4,7,23,22,17,22,9,1,17,16,25,18,18,6,3,20,23,21,17,19,14,2,19,22,19,15,426
06:00:00,34,26,26,11,2,9,40,44,26,29,12,4,31,29,30,26,30,8,5,31,28,37,32,35,12,5,25,36,30,24,663
07:00:00,40,28,42,13,1,3,37,34,41,42,15,3,39,25,32,34,31,10,3,28,38,38,34,35,13,2,34,38,34,26,733
08:00:00,24,32,26,18,2,5,37,27,36,25,8,2,26,35,20,28,22,9,2,22,22,26,29,31,13,3,22,31,26,21,583
09:00:00,52,39,39,10,4,8,41,39,43,34,13,1,43,31,35,32,33,9,2,26,31,36,37,35,12,2,41,34,35,27,762
10:00:00,41,39,55,16,6,12,42,41,37,37,9,2,29,34,37,40,40,9,2,35,43,39,48,32,12,1,41,41,38,29,820
11:00:00,41,34,50,12,1,8,55,50,36,41,13,1,35,39,41,44,32,8,1,44,42,35,47,42,13,2,44,49,40,31,860
12:00:00,45,40,31,9,1,12,41,37,52,35,9,3,40,40,41,37,29,6,5,29,35,41,51,42,8,4,38,31,37,28,792
13:00:00,36,30,37,8,3,10,27,35,30,38,10,1,35,30,34,31,26,3,3,33,41,36,41,27,8,3,22,33,32,24,671
14:00:00,33,41,24,7,2,4,48,34,34,29,7,1,30,32,27,18,38,5,6,31,27,30,36,32,4,4,29,39,31,23,652
15:00:00,35,36,30,5,1,6,44,40,46,33,3,1,32,32,27,33,28,9,3,28,31,37,39,24,3,1,36,29,32,24,672
16:00:00,27,21,32,6,1,8,26,32,25,25,5,4,31,19,24,24,18,5,3,25,35,21,33,23,2,2,17,18,24,18,512
17:00:00,12,20,15,4,0,3,12,16,10,6,6,3,11,18,9,22,18,4,1,11,15,18,17,13,2,3,15,12,14,11,296
18:00:00,11,12,13,1,1,4,13,14,13,10,6,1,11,7,11,15,8,1,2,12,13,11,14,6,4,0,13,8,11,8,235
19:00:00,8,12,8,1,4,2,8,12,7,6,3,6,12,6,6,7,4,0,7,8,9,6,8,7,1,3,10,5,8,6,176
20:00:00,6,6,4,3,1,4,7,4,8,3,1,4,6,4,7,5,5,0,4,3,6,3,8,4,0,3,6,9,5,4,124
21:00:00,6,4,8,1,2,2,5,9,6,3,2,2,3,6,4,6,3,1,3,9,3,5,9,2,2,3,4,5,5,4,118
22:00:00,2,3,4,0,0,1,5,2,8,6,1,2,7,6,7,4,6,1,7,7,4,7,4,5,2,3,7,3,5,4,114
23:00:00,3,3,2,3,2,2,3,4,3,7,3,1,2,3,3,10,2,1,5,3,5,4,8,5,1,3,3,3,4,3,97
