,2023-01-01,2023-01-02,2023-01-03,2023-01-04,2023-01-05,2023-01-06,2023-01-07,2023-01-08,2023-01-09,2023-01-10,2023-01-11,2023-01-12,2023-01-13,2023-01-14,2023-01-15,2023-01-16,2023-01-17,2023-01-18,2023-01-19,2023-01-20,2023-01-21,2023-01-22,2023-01-23,2023-01-24,2023-01-25,2023-01-26,2023-01-27,2023-01-28,2023-01-29,2023-01-30,2023-01-31,Workday,7 Day,Count
00:00:00,0,2,1,4,4,2,10,0,5,3,20,15,3,2,3,4,3,3,3,4,2,3,2,2,4,3,3,3,3,3,2,4,4,121
01:00:00,0,1,2,4,5,4,2,0,1,2,12,18,4,3,0,2,3,3,6,4,2,1,1,4,3,5,5,1,0,3,2,4,3,103
02:00:00,1,2,3,4,4,7,5,2,2,7,26,28,6,3,1,3,6,7,3,5,5,2,4,4,2,5,4,5,1,7,5,7,5,169
03:00:00,0,4,4,6,10,10,7,0,8,8,31,23,12,7,0,5,7,5,10,6,10,0,8,5,8,7,7,5,0,9,2,9,7,224
04:00:00,1,4,11,10,7,9,7,3,7,5,8,12,6,6,0,5,9,9,7,5,6,0,7,7,13,12,7,8,0,12,9,8,7,212
05:00:00,0,10,18,24,18,16,10,4,17,20,16,18,16,9,1,19,18,15,21,23,10,2,18,22,23,18,21,6,2,17,22,19,15,454
06:00:00,0,3,34,28,31,37,16,4,34,31,29,30,20,9,4,34,22,26,33,23,13,3,27,39,31,37,30,7,3,22,37,29,23,697
07:00:00,1,10,29,31,33,46,11,0,33,22,34,23,32,14,2,44,29,32,28,39,9,4,28,35,40,32,37,15,2,32,29,32,25,756
08:00:00,1,3,25,33,26,20,16,2,22,17,21,20,28,8,3,27,23,26,25,24,10,2,26,28,24,32,34,10,5,20,27,24,19,588
09:00:00,2,5,23,54,29,28,21,1,25,36,22,33,28,10,1,27,22,35,33,46,8,2,38,35,38,35,43,7,0,22,36,32,24,745
10:00:00,0,9,30,60,35,39,17,3,34,42,20,36,27,9,1,32,32,31,45,38,8,1,37,42,34,33,49,8,4,38,34,35,27,828
11:00:00,0,7,25,60,24,54,20,2,27,38,45,43,34,10,2,44,25,45,37,43,10,3,42,45,44,49,39,7,1,36,40,38,29,901
12:00:00,0,8,34,57,31,34,14,3,33,28,33,41,31,4,2,32,36,32,35,34,5,1,35,38,33,41,31,7,1,31,41,34,25,786
13:00:00,1,6,45,43,31,37,7,3,27,25,25,26,28,7,2,33,24,34,38,25,5,4,39,27,38,24,30,6,5,30,44,31,23,719
14:00:00,1,2,33,36,31,37,6,1,22,19,42,35,21,4,1,18,30,30,22,22,4,4,29,28,24,34,41,4,1,34,35,28,21,651
15:00:00,0,3,34,24,37,31,4,1,17,28,21,29,21,5,2,28,29,25,34,29,3,1,28,28,22,28,29,5,2,24,39,27,20,611
16:00:00,1,5,30,17,21,25,2,0,24,16,15,25,12,3,4,21,25,24,26,19,4,1,30,30,36,32,27,7,2,19,25,23,17,528
17:00:00,1,7,20,19,17,12,6,2,10,14,11,18,10,2,2,13,18,15,12,16,3,4,15,10,34,9,12,2,3,8,21,15,11,346
18:00:00,2,11,6,13,11,3,4,2,13,8,8,21,10,5,4,17,9,8,15,9,3,3,11,11,6,10,7,1,1,11,14,11,8,257
19:00:00,3,3,5,12,6,5,0,4,10,7,9,9,5,3,0,8,9,10,8,5,2,2,6,7,6,6,4,0,5,9,6,7,6,174
20:00:00,2,0,5,4,3,2,4,4,6,4,7,5,5,1,5,5,2,5,6,1,3,2,5,2,5,6,5,3,0,4,4,4,4,115
21:00:00,2,4,6,8,8,19,0,4,5,21,21,10,1,3,0,8,5,6,6,1,1,1,6,8,8,6,4,0,3,3,9,8,6,187
22:00:00,0,1,6,7,4,18,2,1,5,24,25,5,5,1,1,4,7,3,3,8,5,1,5,8,6,7,4,0,2,6,7,8,6,181
23:00:00,0,3,4,1,4,8,1,4,3,22,24,4,2,2,1,5,2,6,8,1,0,0,2,3,3,5,3,2,2,3,8,6,4,136
