,2023-07-01,2023-07-02,2023-07-03,2023-07-04,2023-07-05,2023-07-06,2023-07-07,2023-07-08,2023-07-09,2023-07-10,2023-07-11,2023-07-12,2023-07-13,2023-07-14,2023-07-15,2023-07-16,2023-07-17,2023-07-18,2023-07-19,2023-07-20,2023-07-21,2023-07-22,2023-07-23,2023-07-24,2023-07-25,2023-07-26,2023-07-27,2023-07-28,2023-07-29,2023-07-30,2023-07-31,Workday,7 Day,Count
00:00:00,4,1,3,6,5,6,7,3,4,2,2,20,23,6,3,1,5,4,5,5,12,3,4,4,3,9,2,1,4,6,2,6,5,165
01:00:00,2,1,1,2,1,2,2,4,1,2,3,19,10,1,3,3,1,4,1,3,6,3,2,2,3,4,4,4,4,3,2,4,3,103
02:00:00,2,1,1,7,4,1,3,4,2,8,10,32,27,6,2,0,6,6,1,3,0,6,1,5,3,7,5,5,3,3,4,7,6,168
03:00:00,9,0,7,8,7,7,8,8,2,8,10,32,30,11,13,2,8,10,6,7,10,9,0,8,4,6,5,5,13,0,11,10,9,264
04:00:00,8,2,13,11,10,16,12,6,5,9,7,16,18,12,6,3,5,10,9,15,9,6,2,8,9,13,11,4,3,2,11,11,9,271
05:00:00,9,4,18,28,29,19,22,11,7,24,26,20,16,25,13,4,24,26,25,22,22,13,6,27,24,23,18,27,13,1,16,23,19,562
06:00:00,13,5,28,37,35,37,31,17,1,26,36,35,33,37,8,2,18,22,35,35,26,13,4,31,40,33,33,30,11,8,28,32,25,748
07:00:00,10,2,36,36,33,26,35,13,4,26,24,38,34,38,24,1,37,35,38,24,30,13,2,31,39,41,34,28,18,2,29,33,26,781
08:00:00,15,4,47,48,40,34,32,14,6,39,32,41,37,26,16,2,33,37,40,27,36,14,5,28,34,23,20,27,11,2,22,33,26,792
09:00:00,12,2,51,41,36,29,31,13,5,28,36,26,35,35,10,3,37,39,30,27,44,10,3,26,37,28,25,32,9,5,25,33,26,770
10:00:00,10,1,55,38,25,46,37,13,2,49,38,32,34,37,13,5,26,35,42,40,31,9,2,32,58,31,37,40,10,7,27,38,29,862
11:00:00,13,4,59,38,42,31,34,10,5,35,35,36,41,39,13,3,27,33,32,37,36,19,3,40,51,40,43,30,6,1,35,38,29,871
12:00:00,11,4,53,28,25,33,29,10,5,29,34,19,33,40,8,4,35,36,34,25,36,8,3,28,43,29,44,29,6,5,33,33,25,759
13:00:00,9,3,53,27,29,36,44,7,9,35,29,34,31,34,6,2,29,37,28,32,32,4,4,28,39,21,28,29,11,0,21,32,25,731
14:00:00,3,5,60,27,44,23,26,5,3,31,35,42,33,37,4,5,28,25,37,28,29,2,3,34,38,30,21,25,9,3,24,32,24,719
15:00:00,1,3,43,42,33,26,20,8,4,25,30,26,28,27,5,2,28,32,24,27,27,7,1,37,28,34,30,21,2,1,34,30,22,656
16:00:00,2,1,27,18,25,23,21,4,0,33,23,13,24,22,5,1,22,19,25,14,15,6,4,24,19,24,20,14,7,4,18,21,16,477
17:00:00,5,3,14,12,13,8,5,10,1,13,13,10,12,7,6,2,16,22,15,11,13,5,4,10,9,14,11,19,5,2,16,13,10,306
18:00:00,4,3,13,18,10,17,13,4,2,16,9,9,9,8,7,3,14,13,8,18,12,7,5,11,5,11,17,9,5,5,10,12,10,295
19:00:00,9,3,3,8,9,7,12,4,4,8,7,6,10,10,4,4,9,7,12,11,4,0,4,7,7,4,4,10,7,6,8,8,7,208
20:00:00,2,4,7,8,7,9,8,5,4,10,9,10,4,5,3,4,6,6,8,13,0,2,3,9,5,8,2,3,1,5,5,7,6,175
21:00:00,5,3,3,9,9,4,5,2,4,7,22,20,7,6,1,2,6,4,6,7,6,2,3,6,13,6,5,7,4,3,7,8,6,194
22:00:00,1,4,5,3,6,5,5,2,3,7,19,28,4,10,1,3,4,4,3,3,5,2,4,8,4,4,3,4,1,2,5,7,5,162
23:00:00,2,3,4,3,4,3,4,4,2,2,26,26,7,3,2,3,3,1,0,4,3,3,4,4,5,4,4,3,3,5,5,6,5,149
