,2023-06-01,2023-06-02,2023-06-03,2023-06-04,2023-06-05,2023-06-06,2023-06-07,2023-06-08,2023-06-09,2023-06-10,2023-06-11,2023-06-12,2023-06-13,2023-06-14,2023-06-15,2023-06-16,2023-06-17,2023-06-18,2023-06-19,2023-06-20,2023-06-21,2023-06-22,2023-06-23,2023-06-24,2023-06-25,2023-06-26,2023-06-27,2023-06-28,2023-06-29,2023-06-30,Workday,7 Day,Count
00:00:00,4,5,6,2,3,2,7,5,5,6,4,5,12,25,26,12,14,1,2,2,3,2,4,3,3,7,3,3,3,5,7,6,184
01:00:00,4,1,7,4,1,5,6,6,7,7,1,1,10,18,21,20,3,2,2,4,2,6,3,3,1,1,1,3,3,2,6,5,155
02:00:00,4,3,11,1,2,2,5,11,10,7,1,4,12,28,28,20,14,1,4,7,3,5,7,6,2,8,4,5,5,5,8,7,225
03:00:00,15,7,7,1,6,9,13,16,13,15,0,8,21,40,29,11,6,1,6,3,4,8,5,6,0,6,14,11,8,6,12,10,295
04:00:00,19,13,13,0,8,10,12,20,11,6,2,11,29,25,14,10,16,0,10,12,11,11,12,11,2,15,6,10,10,9,13,11,338
05:00:00,22,25,11,5,14,27,26,22,25,14,7,26,34,29,24,21,15,5,20,25,26,24,22,10,2,16,19,18,20,21,23,19,575
06:00:00,40,37,24,5,9,39,38,28,27,16,9,27,36,34,31,27,9,5,28,27,39,36,26,10,6,21,31,33,28,25,30,25,751
07:00:00,34,26,17,2,6,40,32,32,44,17,2,30,31,34,41,33,10,1,39,28,33,35,36,13,2,43,36,30,27,36,33,26,790
08:00:00,33,37,17,2,11,35,35,30,38,23,2,25,23,17,35,31,21,0,30,30,32,29,28,7,4,25,33,22,27,27,29,23,709
09:00:00,34,40,14,4,11,33,48,31,32,14,3,30,40,38,36,32,12,1,34,31,35,34,41,14,2,27,35,38,23,40,34,26,807
10:00:00,42,51,24,3,11,39,35,40,38,19,0,40,42,32,30,38,10,1,44,46,47,37,36,11,3,39,47,35,33,34,38,30,907
11:00:00,43,47,14,10,6,40,52,46,42,6,5,49,35,39,40,24,8,2,35,34,48,32,34,8,3,33,45,39,46,37,38,29,902
12:00:00,35,36,16,4,7,32,43,38,37,13,2,40,39,40,35,45,11,4,33,38,31,46,29,15,5,40,48,36,33,35,36,28,866
13:00:00,44,38,6,7,4,34,27,34,35,7,8,30,31,41,31,28,5,2,29,30,32,36,25,5,2,30,44,26,32,25,31,24,728
14:00:00,32,39,6,4,7,26,29,19,36,7,7,36,34,33,42,32,3,2,41,34,30,37,34,5,1,31,40,43,25,21,32,24,736
15:00:00,26,23,6,5,4,40,34,23,17,8,4,34,40,27,27,36,3,2,33,45,29,42,20,8,2,40,45,27,37,19,30,23,706
16:00:00,22,10,3,3,3,16,26,29,22,7,1,19,24,22,24,11,4,3,20,25,22,15,10,15,3,22,31,21,21,19,20,15,473
17:00:00,17,16,6,4,7,7,11,20,5,3,4,13,20,19,14,15,4,4,8,15,11,13,29,12,4,14,16,22,15,16,15,12,364
18:00:00,14,12,6,3,4,10,9,12,8,3,2,12,10,8,10,10,5,5,8,11,8,11,18,8,3,15,10,12,10,7,10,9,264
19:00:00,8,7,5,2,6,9,15,5,7,4,6,10,8,17,7,6,2,4,12,11,11,10,10,2,8,12,10,12,7,6,9,8,239
20:00:00,7,9,1,4,7,7,8,9,8,3,2,3,14,6,4,4,1,3,2,8,6,4,7,3,4,4,7,3,7,4,6,5,159
21:00:00,7,4,3,2,4,4,8,7,3,1,1,13,25,21,12,3,4,2,5,7,5,7,5,4,6,7,10,6,6,8,8,7,200
22:00:00,6,6,3,1,4,6,8,9,5,5,3,13,23,18,18,11,1,2,4,4,3,4,3,1,4,5,3,6,6,7,8,6,192
23:00:00,1,1,4,1,3,8,12,14,3,2,2,16,21,22,17,7,2,1,3,3,4,8,9,1,6,2,3,5,3,3,8,6,187
