,2023-03-01,2023-03-02,2023-03-03,2023-03-04,2023-03-05,2023-03-06,2023-03-07,2023-03-08,2023-03-09,2023-03-10,2023-03-11,2023-03-12,2023-03-13,2023-03-14,2023-03-15,2023-03-16,2023-03-17,2023-03-18,2023-03-19,2023-03-20,2023-03-21,2023-03-22,2023-03-23,2023-03-24,2023-03-25,2023-03-26,2023-03-27,2023-03-28,2023-03-29,2023-03-30,2023-03-31,Workday,7 Day,Count
00:00:00,2,4,3,3,0,1,4,2,5,1,4,2,2,2,3,1,4,4,1,5,2,2,2,3,2,2,5,1,5,7,9,3,3,93
01:00:00,3,3,5,2,2,1,3,6,2,4,5,1,0,4,5,1,1,5,2,3,2,3,5,2,3,0,4,4,3,7,5,3,3,96
02:00:00,5,4,4,11,3,5,4,1,4,5,6,1,4,7,7,6,5,8,1,8,8,4,4,4,5,2,6,5,7,5,4,5,5,153
03:00:00,9,9,12,7,1,7,10,10,11,12,11,2,7,9,11,6,5,12,0,8,5,9,10,9,8,1,10,9,12,5,11,9,8,248
04:00:00,10,13,14,7,0,9,13,14,7,12,7,0,11,11,14,19,13,9,1,8,15,11,10,7,9,1,14,12,10,13,16,12,10,310
05:00:00,19,20,24,16,4,21,28,19,19,24,15,3,20,22,19,15,14,14,4,18,26,19,17,27,15,5,16,26,29,15,15,21,17,548
06:00:00,37,36,26,11,4,22,32,33,33,30,10,6,24,39,36,37,18,14,4,20,34,36,31,27,13,3,24,23,27,40,22,30,24,752
07:00:00,46,36,32,14,3,23,23,32,29,35,11,3,29,40,36,34,12,20,2,30,41,35,35,34,20,2,35,45,29,28,36,33,26,830
08:00:00,28,26,35,18,3,26,29,31,24,33,11,5,17,33,22,29,11,14,3,39,28,25,28,36,15,5,21,26,37,28,32,28,23,718
09:00:00,37,32,30,10,3,31,45,20,26,37,3,5,31,48,46,43,10,24,2,31,27,32,23,28,15,2,21,23,41,30,25,31,25,781
10:00:00,37,46,45,16,2,39,32,39,40,32,19,2,36,51,37,40,19,22,3,45,46,46,33,44,13,3,27,41,35,38,41,39,30,969
11:00:00,46,54,37,10,2,37,42,38,40,38,11,2,39,52,41,34,12,16,1,34,36,41,33,48,12,5,34,34,38,26,38,38,29,931
12:00:00,30,30,37,15,2,31,35,34,29,40,11,1,43,44,43,38,7,13,3,26,46,35,37,34,8,4,31,25,52,30,35,34,27,849
13:00:00,36,31,29,11,3,28,29,35,33,25,2,7,27,55,21,29,8,6,4,30,26,23,29,44,4,4,28,23,36,23,30,29,23,719
14:00:00,30,35,39,3,1,30,32,27,29,26,8,1,41,47,27,26,5,8,2,42,29,30,33,41,11,3,37,25,33,26,25,31,24,752
15:00:00,28,27,30,8,1,27,29,22,30,28,5,3,29,43,39,31,6,4,2,29,22,33,27,23,2,5,18,27,28,26,27,27,21,659
16:00:00,17,15,26,5,2,23,31,26,31,18,5,1,43,32,31,27,8,4,2,28,28,13,26,17,6,1,18,14,17,19,16,23,17,550
17:00:00,13,15,13,4,1,18,29,25,20,15,3,4,28,29,25,20,8,5,3,29,25,7,30,9,5,6,10,10,9,31,13,19,14,462
18:00:00,16,10,9,5,2,17,13,20,11,5,2,7,8,20,21,10,6,3,4,16,13,14,15,12,3,4,12,9,10,12,10,13,10,319
19:00:00,9,7,10,3,5,13,9,11,9,11,2,3,13,14,10,12,5,2,2,6,6,8,10,6,2,6,8,2,7,8,7,9,7,226
20:00:00,3,8,5,1,2,4,8,9,6,5,0,3,11,10,8,14,4,2,6,8,7,3,7,6,1,4,8,4,5,2,8,7,5,172
21:00:00,5,6,3,0,3,5,3,8,6,2,1,3,11,13,7,3,3,0,4,7,4,3,7,2,3,7,5,5,2,4,8,5,5,143
22:00:00,4,4,5,1,3,6,5,7,2,4,1,3,5,11,8,6,2,1,3,4,4,5,4,3,1,2,7,6,5,8,5,5,4,135
23:00:00,3,6,4,6,0,6,2,3,5,5,3,1,3,9,6,1,3,0,5,3,5,1,2,4,6,3,2,2,7,4,3,4,4,113
