,2023-05-01,2023-05-02,2023-05-03,2023-05-04,2023-05-05,2023-05-06,2023-05-07,2023-05-08,2023-05-09,2023-05-10,2023-05-11,2023-05-12,2023-05-13,2023-05-14,2023-05-15,2023-05-16,2023-05-17,2023-05-18,2023-05-19,2023-05-20,2023-05-21,2023-05-22,2023-05-23,2023-05-24,2023-05-25,2023-05-26,2023-05-27,2023-05-28,2023-05-29,2023-05-30,2023-05-31,Workday,7 Day,Count
00:00:00,6,1,3,3,5,22,1,4,4,2,1,3,8,3,4,3,8,12,6,7,2,2,4,3,1,8,4,3,4,3,2,4,5,142
01:00:00,3,1,3,5,8,14,2,2,1,2,3,3,4,2,2,4,11,13,7,5,2,4,3,3,5,4,2,2,3,1,4,4,4,128
02:00:00,5,6,3,2,8,26,0,6,6,4,3,3,5,0,5,7,12,6,7,4,3,2,3,3,3,7,5,2,4,8,2,5,5,160
03:00:00,4,4,6,7,11,14,1,4,4,7,8,6,8,1,10,13,5,10,9,11,2,14,7,5,9,8,6,1,7,6,8,7,7,216
04:00:00,8,10,11,21,10,10,0,15,12,9,9,7,7,1,12,13,9,11,9,5,0,8,13,11,10,8,6,1,14,10,8,11,9,278
05:00:00,8,21,26,19,24,10,3,19,28,23,23,21,9,5,17,20,20,18,26,11,5,21,20,24,19,23,15,6,20,29,25,21,18,558
06:00:00,8,39,40,36,33,18,6,33,43,35,36,35,13,6,29,42,28,28,32,10,6,30,38,31,37,32,18,3,24,30,31,33,26,830
07:00:00,5,47,34,42,35,11,5,36,31,43,34,35,13,0,41,31,30,26,28,14,7,38,29,33,53,41,9,4,40,29,39,35,27,863
08:00:00,6,33,22,25,26,10,3,30,22,25,30,27,18,4,20,32,18,24,26,8,3,28,18,22,42,43,13,3,38,29,23,26,21,671
09:00:00,13,30,38,36,36,16,2,36,33,33,38,22,10,4,25,30,30,35,37,14,4,28,29,35,42,36,12,2,39,22,30,32,25,797
10:00:00,8,38,65,41,43,14,3,37,41,26,43,48,14,1,30,41,36,40,36,24,4,44,39,41,77,26,12,2,45,42,33,40,31,994
11:00:00,12,53,51,42,39,13,3,49,46,46,48,41,15,2,55,43,32,35,46,10,4,41,38,50,57,33,12,5,57,48,45,44,34,1071
12:00:00,15,45,51,48,29,14,2,39,31,32,41,34,11,2,40,24,37,33,32,4,2,42,49,59,45,30,9,2,35,39,34,38,28,910
13:00:00,8,28,32,29,19,8,2,40,31,25,31,30,8,3,29,31,30,29,27,4,4,29,40,38,46,25,8,2,32,32,29,30,23,729
14:00:00,4,28,35,29,34,4,4,35,33,26,44,32,7,2,36,42,22,34,34,3,2,25,36,49,45,32,6,1,44,36,31,33,25,795
15:00:00,5,31,30,36,37,2,4,28,33,32,33,29,3,1,23,31,36,32,38,4,1,30,30,38,39,24,3,3,35,36,29,31,23,736
16:00:00,5,22,21,28,20,6,5,31,18,18,22,24,1,4,25,27,23,29,32,4,2,23,24,39,36,16,4,2,19,21,20,24,18,571
17:00:00,8,11,9,8,12,3,5,10,15,11,13,15,2,5,21,28,9,11,14,3,3,11,19,21,22,14,4,2,18,14,20,15,11,361
18:00:00,3,22,13,11,12,5,5,10,9,10,8,11,2,0,11,32,9,10,5,3,2,10,13,19,16,7,2,4,12,9,11,12,9,296
19:00:00,5,6,10,9,8,1,4,10,14,5,9,6,5,5,16,14,8,11,18,6,9,13,11,13,16,4,9,7,6,7,11,10,9,276
20:00:00,3,5,3,8,6,3,4,5,5,10,7,8,3,6,6,10,9,9,4,1,5,5,8,6,4,3,3,1,10,8,12,7,6,180
21:00:00,2,5,5,4,18,2,3,10,2,3,7,3,3,4,4,17,22,6,3,1,5,4,10,6,3,4,1,4,10,6,7,7,6,184
22:00:00,3,5,5,6,31,5,3,6,5,4,4,4,1,4,5,17,23,6,6,1,3,6,5,6,6,2,1,1,2,6,3,7,6,185
23:00:00,5,4,4,1,22,2,1,3,5,2,3,7,1,4,4,9,17,7,1,2,1,3,4,5,3,2,1,5,1,4,7,5,4,140
