,2024-04-01,2024-04-02,2024-04-03,2024-04-04,2024-04-05,2024-04-06,2024-04-07,2024-04-08,2024-04-09,2024-04-10,2024-04-11,2024-04-12,2024-04-13,2024-04-14,2024-04-15,2024-04-16,2024-04-17,2024-04-18,2024-04-19,2024-04-20,2024-04-21,2024-04-22,2024-04-23,2024-04-24,2024-04-25,2024-04-26,2024-04-27,2024-04-28,2024-04-29,2024-04-30,Workday,7 Day,Count
00:00:00,1,1,1,1,5,3,1,0,2,3,5,2,2,3,2,2,1,1,4,1,1,1,2,1,0,7,1,1,1,8,2,2,64
01:00:00,1,0,4,1,4,2,0,0,6,4,4,1,2,2,1,1,2,2,3,1,0,0,5,4,1,5,2,0,1,4,2,2,63
02:00:00,4,1,5,1,5,0,2,1,1,6,8,1,0,0,0,0,0,2,1,0,0,2,1,0,1,2,0,1,1,3,2,2,49
03:00:00,1,2,2,2,1,1,0,1,2,5,6,3,4,0,3,3,1,2,2,3,0,0,3,2,4,2,4,0,2,2,2,2,63
04:00:00,4,11,7,4,4,3,1,7,2,4,4,4,3,0,4,9,8,3,5,2,0,4,7,8,6,7,5,1,6,4,6,4,137
05:00:00,5,14,16,16,17,4,0,5,21,10,20,20,6,0,9,13,12,23,14,4,2,11,27,18,18,13,4,1,10,23,15,12,356
06:00:00,4,8,13,23,19,8,1,17,13,15,17,15,9,1,16,21,18,16,30,7,2,21,24,13,13,22,10,1,12,20,17,13,409
07:00:00,10,22,34,30,28,11,3,28,31,28,27,34,8,3,34,29,43,37,27,15,4,31,26,27,37,36,13,3,28,32,30,24,719
08:00:00,4,29,30,30,23,14,1,22,30,25,29,21,9,1,36,27,36,32,22,9,1,41,26,20,22,33,14,4,27,26,27,21,644
09:00:00,9,33,40,32,34,8,1,36,36,32,39,37,9,0,25,33,53,38,36,15,3,39,36,27,39,41,11,4,30,42,35,27,818
10:00:00,7,48,36,32,30,10,3,60,48,35,52,34,9,5,34,41,51,41,44,11,4,47,47,41,37,49,9,6,38,50,41,31,959
11:00:00,7,35,31,41,36,5,6,36,49,38,35,40,11,10,34,38,46,36,42,8,6,40,40,44,47,38,3,6,41,42,38,29,891
12:00:00,6,30,32,25,28,11,4,38,46,32,48,39,7,5,41,36,44,41,35,9,4,32,37,47,41,34,16,7,35,38,36,28,848
13:00:00,5,36,26,30,37,6,5,35,41,39,39,47,9,4,42,38,35,39,31,14,4,33,42,34,34,37,10,5,38,48,36,28,843
14:00:00,2,33,32,31,23,9,2,34,46,43,34,40,7,2,43,32,42,39,34,9,7,36,35,38,37,46,7,1,33,46,35,27,823
15:00:00,4,26,24,25,15,3,4,30,45,25,22,32,8,7,28,29,38,30,17,10,1,34,35,18,33,31,8,9,32,35,28,22,658
16:00:00,5,21,29,19,14,3,5,30,20,34,23,25,12,3,26,18,24,30,19,7,2,26,27,21,28,30,6,16,30,25,24,19,578
17:00:00,6,9,12,9,13,4,9,14,20,19,16,9,9,3,16,17,16,21,9,6,4,16,5,21,20,15,7,8,19,14,14,12,366
18:00:00,2,6,9,12,11,8,4,6,3,8,9,5,3,3,5,8,7,6,10,5,3,11,6,13,8,11,7,7,15,1,8,7,212
19:00:00,5,5,4,4,2,0,1,5,8,8,11,6,7,4,3,6,6,5,3,9,3,3,8,6,8,3,1,6,7,7,6,5,154
20:00:00,3,2,2,3,4,5,3,4,3,4,5,6,3,6,1,1,3,4,2,4,2,4,3,3,6,3,0,1,4,4,3,3,98
21:00:00,6,9,0,7,2,1,0,4,8,4,2,2,1,0,1,1,4,7,2,2,2,8,3,2,8,5,5,1,10,12,5,4,119
22:00:00,1,6,1,4,6,0,0,6,7,6,1,1,2,1,0,2,3,1,4,4,1,8,3,0,2,4,1,0,9,6,4,3,90
23:00:00,1,5,2,4,3,0,1,7,4,11,3,2,2,3,4,1,1,1,1,1,0,4,0,3,2,1,2,2,5,8,3,3,84
