,2024-08-01,2024-08-02,2024-08-03,2024-08-04,2024-08-05,2024-08-06,2024-08-07,2024-08-08,2024-08-09,2024-08-10,2024-08-11,2024-08-12,2024-08-13,2024-08-14,2024-08-15,2024-08-16,2024-08-17,2024-08-18,2024-08-19,2024-08-20,2024-08-21,2024-08-22,2024-08-23,2024-08-24,2024-08-25,2024-08-26,2024-08-27,2024-08-28,2024-08-29,2024-08-30,2024-08-31,Workday,7 Day,Count
00:00:00,4,3,3,0,0,3,1,4,4,0,0,2,2,5,6,6,3,2,1,10,0,1,2,0,0,0,1,1,2,3,1,3,2,70
01:00:00,0,0,0,0,0,0,5,4,3,0,0,1,3,6,6,7,3,0,1,5,0,1,0,1,1,1,1,0,2,0,0,2,2,51
02:00:00,0,1,0,0,0,0,5,5,5,0,1,1,4,0,4,2,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,1,1,34
03:00:00,4,5,2,0,1,4,5,4,6,1,0,2,14,6,5,3,2,1,1,3,2,3,3,3,0,2,4,1,5,3,2,4,3,97
04:00:00,5,5,2,0,3,3,3,6,5,4,1,6,2,8,5,5,4,1,5,4,5,5,4,2,0,7,2,3,2,7,3,5,4,117
05:00:00,13,18,4,2,6,18,19,12,22,4,0,9,18,10,12,19,5,2,12,18,16,17,18,4,0,6,17,13,14,13,6,15,11,347
06:00:00,22,16,10,2,9,16,17,20,25,8,1,14,15,14,18,17,7,0,19,24,23,12,21,4,0,21,14,20,15,19,10,18,14,433
07:00:00,27,31,8,5,6,25,37,23,37,12,2,34,24,37,31,37,12,4,38,37,30,40,26,8,4,27,36,41,49,44,13,33,25,785
08:00:00,26,20,21,8,4,40,39,50,32,11,2,30,32,42,36,34,7,3,39,38,34,35,28,11,3,39,34,30,36,32,20,33,26,816
09:00:00,41,40,14,9,4,35,53,59,52,15,4,46,30,36,44,32,19,3,39,42,50,40,33,12,0,43,27,45,42,36,10,40,31,955
10:00:00,31,32,10,6,17,31,36,47,53,15,5,43,43,42,47,43,12,5,48,39,36,33,34,14,2,41,53,39,43,33,14,39,31,947
11:00:00,31,37,16,8,8,34,40,42,44,12,8,36,26,53,56,41,8,6,38,44,39,52,35,9,8,45,47,45,37,44,12,40,31,961
12:00:00,38,44,15,9,6,29,45,47,44,10,3,40,44,48,41,43,12,5,32,34,39,35,43,15,2,41,31,36,45,43,14,39,30,933
13:00:00,25,40,11,4,3,33,55,52,34,14,8,44,41,33,33,37,11,6,34,31,26,28,35,11,4,36,30,39,36,39,10,35,27,843
14:00:00,32,33,8,0,0,32,44,34,33,12,4,49,27,48,41,33,8,7,50,34,32,27,29,5,1,39,30,40,35,40,9,35,26,816
15:00:00,26,18,10,5,8,29,33,31,22,7,5,37,40,29,45,19,5,5,38,30,26,25,30,7,6,18,28,36,42,27,5,29,22,692
16:00:00,27,19,9,8,2,23,26,32,16,6,5,30,31,27,29,12,7,5,31,22,26,21,17,7,7,24,29,36,23,14,2,24,19,573
17:00:00,7,6,9,2,4,12,18,10,9,6,2,15,12,13,16,13,4,3,16,11,16,15,13,7,1,14,9,21,13,14,5,13,10,316
18:00:00,7,7,5,4,1,10,6,8,7,4,4,12,6,7,8,4,4,5,8,13,8,12,6,5,5,8,6,7,5,5,8,7,7,205
19:00:00,3,3,2,6,2,4,3,6,2,3,2,3,7,14,6,5,4,2,5,3,5,7,4,8,2,9,13,10,6,8,3,6,5,160
20:00:00,10,3,1,1,4,3,4,8,3,2,2,3,3,3,4,3,9,0,2,7,4,3,2,4,1,2,6,8,2,3,1,4,4,111
21:00:00,7,2,1,3,0,8,7,4,4,2,2,6,12,7,2,2,5,2,13,4,1,3,0,0,0,1,6,3,3,1,2,4,4,113
22:00:00,2,1,2,0,1,2,9,6,4,1,0,3,6,7,4,5,1,0,17,1,1,2,1,2,2,0,6,1,1,2,5,4,3,95
23:00:00,3,4,1,1,2,6,5,4,2,1,0,6,4,7,3,2,0,3,9,5,2,0,2,2,0,2,5,4,1,5,5,4,3,96
