,2023-02-01,2023-02-02,2023-02-03,2023-02-04,2023-02-05,2023-02-06,2023-02-07,2023-02-08,2023-02-09,2023-02-10,2023-02-11,2023-02-12,2023-02-13,2023-02-14,2023-02-15,2023-02-16,2023-02-17,2023-02-18,2023-02-19,2023-02-20,2023-02-21,2023-02-22,2023-02-23,2023-02-24,2023-02-25,2023-02-26,2023-02-27,2023-02-28,Workday,7 Day,Count
00:00:00,0,1,1,1,2,0,1,0,6,1,2,1,1,3,2,2,4,2,0,0,2,1,0,3,0,3,2,1,2,2,42
01:00:00,2,2,1,0,1,1,0,1,1,1,0,0,1,4,1,1,4,1,1,1,1,1,1,1,0,0,1,2,1,1,31
02:00:00,0,1,0,0,0,1,1,0,0,0,1,0,0,1,2,0,3,0,1,0,0,0,0,1,0,0,1,0,1,0,13
03:00:00,2,2,3,1,0,0,2,1,2,2,1,0,1,5,1,2,5,1,1,2,1,0,1,2,3,0,2,1,2,2,44
04:00:00,1,4,6,3,0,4,5,5,3,7,3,2,5,2,4,7,9,3,0,3,6,5,3,7,2,0,3,3,5,4,105
05:00:00,13,14,18,7,0,3,13,12,17,14,9,1,10,20,18,11,9,10,1,15,14,14,13,17,11,1,14,21,14,11,320
06:00:00,17,23,21,12,0,8,26,23,12,21,8,1,15,18,17,19,19,7,0,18,19,17,24,14,9,4,14,16,18,14,402
07:00:00,31,36,30,10,4,5,25,37,31,29,9,3,30,28,42,27,45,11,2,25,29,32,37,22,13,4,38,34,31,24,669
08:00:00,29,28,35,17,0,3,28,27,31,34,10,2,39,25,35,33,41,5,2,24,25,37,33,35,18,6,33,28,30,24,663
09:00:00,39,39,30,16,0,8,34,27,43,32,13,2,22,44,29,22,36,9,1,28,56,45,33,30,14,1,36,27,33,26,716
10:00:00,44,46,26,8,5,7,41,41,45,40,15,4,36,48,38,23,38,7,3,28,41,52,46,37,10,7,37,35,37,29,808
11:00:00,52,35,36,15,6,11,40,28,45,36,8,5,49,42,47,35,35,3,6,29,44,55,40,21,6,11,34,46,38,29,820
12:00:00,47,33,24,16,2,7,38,36,44,40,5,2,37,24,44,31,41,7,3,40,32,26,40,33,7,4,38,39,35,26,740
13:00:00,34,32,27,11,6,4,50,39,46,32,7,4,40,48,31,39,43,10,5,36,42,39,31,26,9,5,36,45,36,28,777
14:00:00,24,37,23,6,2,2,28,28,45,41,7,4,28,31,38,40,32,4,6,37,26,36,49,21,11,3,32,35,32,24,676
15:00:00,30,27,31,4,3,5,27,25,33,30,5,2,22,21,32,24,21,4,5,25,26,30,26,16,6,10,29,33,26,20,552
16:00:00,21,22,28,3,4,4,27,25,25,19,4,2,19,18,29,24,9,5,3,24,30,23,32,16,5,4,20,33,22,17,478
17:00:00,9,16,13,7,1,3,14,8,20,11,3,2,17,16,5,20,8,3,1,12,12,12,10,11,8,3,14,10,12,10,269
18:00:00,10,9,4,3,0,4,6,4,6,5,0,0,8,4,10,13,8,1,2,9,9,12,8,8,7,0,11,12,8,6,173
19:00:00,4,5,9,2,1,2,5,5,4,3,0,0,3,5,7,5,5,1,3,4,5,4,3,2,5,5,4,5,4,4,106
20:00:00,3,7,5,3,1,2,9,6,3,2,2,0,1,3,2,7,3,0,1,4,1,3,3,1,2,1,1,4,4,3,80
21:00:00,3,2,6,3,1,1,0,1,2,3,0,1,2,0,8,2,2,1,1,1,1,2,2,2,2,3,3,3,2,2,58
22:00:00,0,4,0,2,0,0,1,0,4,3,0,1,2,5,0,3,2,1,0,1,4,4,2,2,1,1,2,3,2,2,48
23:00:00,0,2,2,0,1,1,1,4,4,1,1,1,1,4,2,5,2,0,1,3,3,2,2,0,1,0,0,5,2,2,49
