,2024-02-01,2024-02-02,2024-02-03,2024-02-04,2024-02-05,2024-02-06,2024-02-07,2024-02-08,2024-02-09,2024-02-10,2024-02-11,2024-02-12,2024-02-13,2024-02-14,2024-02-15,2024-02-16,2024-02-17,2024-02-18,2024-02-19,2024-02-20,2024-02-21,2024-02-22,2024-02-23,2024-02-24,2024-02-25,2024-02-26,2024-02-27,2024-02-28,2024-02-29,Workday,7 Day,Count
00:00:00,1,1,0,1,2,1,1,0,2,3,5,1,3,1,0,0,0,3,1,0,1,2,7,3,1,1,2,5,5,2,2,53
01:00:00,2,3,1,0,1,1,0,2,0,3,0,0,2,1,4,0,1,1,1,2,0,1,0,2,1,0,5,4,5,2,1,43
02:00:00,4,0,0,0,0,1,1,0,1,1,1,1,1,0,1,4,1,0,0,0,1,0,4,0,1,1,6,5,3,2,1,38
03:00:00,3,5,1,0,0,1,0,1,1,1,0,1,1,2,2,4,1,1,4,2,2,2,2,2,2,1,10,8,7,3,2,67
04:00:00,9,8,3,1,2,4,6,5,4,3,0,4,7,5,5,4,4,0,6,4,5,6,4,1,0,4,7,8,8,5,4,127
05:00:00,22,17,8,1,10,15,15,12,12,3,0,10,18,17,17,13,4,1,14,22,11,21,18,5,0,11,21,18,20,16,12,356
06:00:00,16,24,11,0,7,22,14,26,18,7,0,20,18,18,18,22,11,0,14,13,13,20,24,6,0,15,16,10,13,17,14,396
07:00:00,47,36,8,0,8,28,34,32,35,17,6,29,39,39,30,27,15,2,31,27,31,31,34,16,4,27,25,26,32,31,24,716
08:00:00,38,34,13,2,1,29,41,31,32,14,1,37,36,43,32,33,11,2,43,18,37,30,31,16,11,20,33,27,27,31,25,723
09:00:00,54,43,10,3,5,40,32,46,40,17,2,41,37,35,38,43,21,0,38,41,45,37,36,15,0,32,33,36,41,38,29,861
10:00:00,41,34,17,2,12,31,59,53,52,12,2,50,50,51,42,27,15,3,49,48,44,39,39,14,1,36,44,36,42,42,32,945
11:00:00,42,35,14,6,7,50,49,44,46,17,6,48,51,42,40,42,15,6,51,36,59,42,34,7,5,44,38,27,29,41,32,932
12:00:00,41,36,13,5,8,49,45,38,38,5,6,45,37,39,28,39,9,2,61,34,40,32,45,10,3,26,45,46,33,38,29,858
13:00:00,37,24,9,3,3,37,43,33,36,8,3,32,36,40,41,28,10,5,44,33,39,39,34,8,7,30,38,38,29,34,26,767
14:00:00,28,35,5,0,3,30,50,38,46,5,0,35,33,27,35,30,7,2,47,29,42,42,28,9,5,29,35,38,33,34,25,746
15:00:00,24,17,2,3,2,30,39,24,34,6,5,34,31,29,27,20,5,4,42,20,16,33,19,6,4,22,32,25,25,26,20,580
16:00:00,27,20,6,1,7,28,26,22,24,4,3,22,20,16,17,17,7,4,22,20,19,19,28,7,3,7,35,26,21,21,16,478
17:00:00,12,17,6,4,5,14,15,11,10,6,2,13,11,11,13,6,8,3,11,6,17,9,9,6,0,9,15,10,8,11,9,267
18:00:00,8,8,6,2,3,12,4,9,7,3,3,5,12,10,4,7,2,2,5,3,12,4,10,3,4,8,3,2,8,7,6,169
19:00:00,3,2,5,3,3,7,9,8,2,1,2,6,5,1,5,4,1,1,3,1,1,7,4,1,1,5,4,3,3,4,3,101
20:00:00,3,0,2,1,0,5,2,7,2,1,0,2,3,0,2,3,1,0,2,2,2,4,4,3,3,5,1,2,5,3,2,67
21:00:00,5,1,2,0,0,1,3,1,3,2,0,2,1,1,4,1,1,0,1,2,0,6,3,1,3,7,7,3,4,3,2,65
22:00:00,2,4,2,1,0,2,4,3,3,3,1,4,0,2,2,1,2,1,4,3,1,4,5,3,2,4,4,6,3,3,3,76
23:00:00,1,2,5,1,1,1,2,4,2,0,1,1,0,1,2,2,0,1,0,0,2,5,1,0,0,3,5,5,2,2,2,50
