,2024-07-01,2024-07-02,2024-07-03,2024-07-04,2024-07-05,2024-07-06,2024-07-07,2024-07-08,2024-07-09,2024-07-10,2024-07-11,2024-07-12,2024-07-13,2024-07-14,2024-07-15,2024-07-16,2024-07-17,2024-07-18,2024-07-19,2024-07-20,2024-07-21,2024-07-22,2024-07-23,2024-07-24,2024-07-25,2024-07-26,2024-07-27,2024-07-28,2024-07-29,2024-07-30,2024-07-31,Workday,7 Day,Count
00:00:00,0,0,9,3,6,1,2,1,2,1,4,3,1,1,1,1,0,0,1,1,1,1,3,2,0,0,0,1,0,4,0,2,2,50
01:00:00,1,0,5,9,3,1,1,3,0,4,6,1,1,1,1,0,1,1,0,1,1,1,1,1,0,2,3,0,1,3,1,2,2,54
02:00:00,0,2,6,4,1,1,0,2,3,6,5,2,0,0,0,3,0,0,1,1,0,1,1,0,0,1,1,0,0,7,0,2,2,48
03:00:00,1,5,4,4,3,3,0,3,3,5,6,4,1,1,1,3,3,6,3,2,0,2,3,3,3,3,1,0,4,10,1,4,3,91
04:00:00,2,4,4,2,9,5,1,7,3,6,7,7,4,0,5,2,6,4,7,2,0,7,3,4,1,4,2,0,4,5,5,5,4,122
05:00:00,14,14,18,20,19,7,0,12,20,14,10,21,4,2,10,19,11,17,15,3,0,9,16,14,13,17,3,4,11,21,13,15,12,371
06:00:00,15,25,17,14,23,14,0,18,21,18,14,16,10,2,17,18,8,13,25,10,0,15,19,24,16,22,9,1,14,18,22,18,14,458
07:00:00,37,39,38,40,32,14,3,35,29,38,24,32,10,2,29,32,27,32,34,10,1,33,30,32,34,33,14,1,36,34,22,33,25,807
08:00:00,52,31,44,28,34,15,7,28,45,35,29,45,15,5,30,35,35,36,35,17,3,35,26,29,21,29,12,1,32,34,31,34,27,854
09:00:00,44,36,47,41,43,10,4,35,55,40,46,26,14,5,38,38,40,38,41,17,1,34,30,41,39,31,18,1,40,37,26,39,30,956
10:00:00,40,40,41,39,38,7,2,31,37,33,45,40,11,1,35,28,36,22,41,9,7,27,38,41,38,33,20,5,33,38,26,36,28,882
11:00:00,42,42,41,45,58,13,5,40,46,40,26,28,15,7,40,36,39,33,52,9,6,43,43,27,47,41,16,2,34,39,39,40,31,994
12:00:00,34,41,31,39,64,8,8,41,35,32,34,29,11,5,34,37,38,40,48,7,8,28,31,37,31,33,10,6,41,32,40,37,29,913
13:00:00,41,35,36,33,59,7,4,40,37,37,39,28,13,7,37,35,33,32,45,8,7,32,30,35,43,25,9,4,34,35,37,36,28,897
14:00:00,33,35,28,22,38,11,7,25,41,34,37,28,8,5,36,36,53,29,39,8,3,41,33,38,29,27,9,2,31,34,29,34,26,829
15:00:00,39,36,25,29,29,9,5,31,33,24,34,22,8,4,31,35,44,34,30,7,6,29,23,34,30,28,7,8,35,29,31,31,24,769
16:00:00,27,20,24,29,20,5,4,32,29,32,25,14,10,2,25,24,28,25,17,4,4,13,18,18,26,21,6,2,18,23,18,23,18,563
17:00:00,13,14,17,15,10,11,3,14,15,14,12,8,7,4,13,13,13,16,14,4,1,15,10,11,7,14,11,7,12,15,15,13,11,348
18:00:00,12,8,6,13,7,0,6,11,6,8,8,7,4,3,11,9,7,5,9,3,2,6,11,16,6,6,6,4,6,8,6,8,7,220
19:00:00,4,5,5,7,5,4,1,7,4,4,1,8,4,3,5,4,2,6,7,2,2,5,7,5,8,2,0,4,2,4,3,5,4,130
20:00:00,5,3,0,9,4,2,3,3,3,3,3,4,0,3,0,8,3,3,6,3,2,7,3,1,7,5,1,3,0,4,2,4,3,103
21:00:00,0,12,10,10,2,1,0,2,6,7,4,4,1,2,1,5,3,0,3,2,0,1,7,1,3,3,4,1,8,2,1,4,3,106
22:00:00,2,7,11,0,4,2,1,1,5,6,5,6,0,1,4,2,2,3,2,1,0,2,3,1,0,7,1,2,10,2,1,4,3,94
23:00:00,1,10,11,5,1,1,0,2,2,9,2,1,2,1,2,2,0,1,5,2,4,1,1,3,2,1,3,0,4,0,1,3,3,80
