,2024-06-01,2024-06-02,2024-06-03,2024-06-04,2024-06-05,2024-06-06,2024-06-07,2024-06-08,2024-06-09,2024-06-10,2024-06-11,2024-06-12,2024-06-13,2024-06-14,2024-06-15,2024-06-16,2024-06-17,2024-06-18,2024-06-19,2024-06-20,2024-06-21,2024-06-22,2024-06-23,2024-06-24,2024-06-25,2024-06-26,2024-06-27,2024-06-28,2024-06-29,2024-06-30,Workday,7 Day,Count
00:00:00,2,0,0,0,1,3,0,2,1,1,0,0,2,2,1,2,1,3,2,2,3,3,3,4,1,3,2,5,1,2,2,2,52
01:00:00,0,0,0,1,3,0,2,3,0,2,1,0,3,1,1,0,0,3,2,1,3,1,1,1,1,2,1,7,3,2,2,2,45
02:00:00,1,0,1,0,1,0,1,0,0,0,0,1,2,3,0,0,1,0,1,0,0,4,0,1,1,1,1,7,1,0,1,1,28
03:00:00,2,0,0,3,1,4,3,1,0,2,4,4,1,3,1,0,2,1,2,4,7,2,0,2,3,1,2,7,1,0,3,2,63
04:00:00,3,0,5,5,6,3,5,4,0,6,5,4,3,8,4,0,5,3,7,8,6,2,1,5,8,4,5,7,1,0,5,4,123
05:00:00,8,3,7,14,18,20,12,4,0,10,18,14,14,23,4,1,13,20,15,17,19,3,4,12,14,13,12,21,5,0,15,12,338
06:00:00,8,9,8,27,20,16,24,9,1,18,20,19,17,25,11,1,11,17,15,21,23,14,0,25,23,16,21,24,7,2,20,16,452
07:00:00,11,3,8,29,33,39,54,6,6,31,39,43,32,49,10,5,35,48,42,35,34,15,2,31,37,42,40,41,6,3,37,28,809
08:00:00,17,2,8,29,47,45,40,13,7,31,39,37,39,31,15,3,33,35,22,34,33,14,3,28,31,42,45,43,13,5,35,27,784
09:00:00,15,0,6,33,26,48,36,10,1,38,41,44,37,43,16,3,41,57,43,32,27,20,3,36,43,44,46,38,14,8,38,30,849
10:00:00,14,5,9,24,37,46,30,7,4,38,34,47,50,43,6,6,48,50,51,43,31,20,4,34,41,58,45,43,15,6,40,31,889
11:00:00,6,10,10,41,46,41,40,4,5,49,31,51,39,51,7,4,34,51,41,47,44,15,7,27,33,46,40,30,13,7,40,31,870
12:00:00,13,4,6,42,40,39,47,16,5,52,37,42,40,39,13,3,40,43,43,43,29,22,6,31,42,43,40,46,10,6,39,31,882
13:00:00,11,4,9,45,38,40,42,13,6,36,31,42,35,25,12,4,23,33,35,40,39,8,6,50,35,36,35,39,12,8,35,28,792
14:00:00,11,2,3,41,33,38,24,10,2,30,26,37,34,28,5,2,31,33,38,40,35,7,4,42,31,51,39,36,8,7,34,26,728
15:00:00,8,5,5,42,33,24,16,6,10,42,28,29,32,27,3,2,21,19,30,37,16,6,10,31,36,31,33,22,5,7,28,22,616
16:00:00,7,6,3,26,28,26,19,6,10,22,26,25,32,20,7,4,24,15,38,24,16,7,5,22,26,30,20,18,11,6,23,18,529
17:00:00,8,3,6,12,20,22,10,5,6,6,11,11,12,20,2,3,15,33,14,9,20,11,1,17,18,16,23,7,7,6,15,12,354
18:00:00,7,1,1,6,6,4,7,6,2,9,4,6,6,15,5,1,7,12,10,16,8,4,5,6,6,5,6,5,3,3,7,6,182
19:00:00,3,5,6,4,5,10,1,3,2,2,7,4,8,9,1,3,7,1,10,13,7,2,3,3,6,8,6,1,4,5,6,5,149
20:00:00,3,3,2,9,3,1,5,1,2,3,3,5,3,3,6,3,4,1,3,4,5,2,2,1,2,3,4,3,4,1,3,3,94
21:00:00,3,0,3,2,2,3,2,4,1,3,4,1,3,3,1,1,0,3,3,1,3,2,1,1,3,1,17,3,0,2,3,3,76
22:00:00,0,4,3,2,1,0,3,0,0,1,4,3,1,3,1,1,4,1,4,2,2,2,0,3,2,0,8,1,2,2,2,2,60
23:00:00,2,1,0,1,0,2,2,2,1,3,1,3,1,3,0,0,2,5,0,1,3,2,1,0,1,0,4,2,1,2,2,2,46
