,2023-03-01,2023-03-02,2023-03-03,2023-03-04,2023-03-05,2023-03-06,2023-03-07,2023-03-08,2023-03-09,2023-03-10,2023-03-11,2023-03-12,2023-03-13,2023-03-14,2023-03-15,2023-03-16,2023-03-17,2023-03-18,2023-03-19,2023-03-20,2023-03-21,2023-03-22,2023-03-23,2023-03-24,2023-03-25,2023-03-26,2023-03-27,2023-03-28,2023-03-29,2023-03-30,2023-03-31,Workday,7 Day,Count
00:00:00,2,0,4,1,1,1,0,2,2,2,3,1,0,2,2,0,2,2,0,0,0,1,1,1,4,2,1,1,1,0,0,1,1,39
01:00:00,1,2,1,0,0,0,1,1,1,1,0,1,1,1,0,3,1,2,0,0,2,1,3,4,1,0,2,0,0,1,1,1,1,32
02:00:00,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,4,0,0,1,1,0,1,2,3,2,0,0,2,1,1,21
03:00:00,2,4,1,1,1,1,1,4,2,1,2,0,1,1,2,1,2,2,0,3,2,2,3,2,0,0,3,1,2,2,1,2,2,50
04:00:00,2,5,8,3,0,7,2,2,1,5,3,0,2,5,3,4,5,9,0,4,3,2,1,5,3,0,3,3,4,3,10,4,3,107
05:00:00,15,10,11,6,0,7,18,17,16,12,14,0,10,16,17,17,9,7,0,10,17,10,11,18,10,1,11,14,10,15,15,13,11,344
06:00:00,16,24,25,9,0,18,22,22,21,25,10,0,14,23,19,18,7,10,1,15,17,16,15,19,10,0,22,18,18,19,16,19,15,469
07:00:00,29,29,48,16,1,33,26,28,36,39,4,2,23,36,33,38,7,9,1,27,32,40,42,34,9,1,30,29,33,35,36,32,25,786
08:00:00,38,25,37,12,4,28,30,34,29,23,9,6,45,34,32,23,5,10,3,21,18,39,23,33,11,0,34,19,28,31,32,29,22,716
09:00:00,43,42,39,18,3,35,34,39,30,23,9,2,30,44,34,29,4,13,2,31,31,44,37,34,11,1,34,46,50,45,31,35,27,868
10:00:00,52,37,37,9,5,34,32,41,34,33,12,3,31,39,37,34,7,15,4,40,33,34,33,39,11,3,42,40,33,39,29,35,27,872
11:00:00,49,49,37,8,6,30,31,42,34,28,16,3,42,44,38,35,7,6,7,32,26,37,45,38,8,4,43,39,41,43,49,37,29,917
12:00:00,34,29,37,14,4,30,44,51,35,35,5,5,29,38,42,32,3,17,4,34,35,38,44,49,8,5,40,38,40,31,39,36,28,889
13:00:00,36,31,34,15,6,28,46,34,34,32,7,4,26,39,34,25,6,14,2,39,39,30,45,32,10,4,43,38,43,38,35,34,27,849
14:00:00,31,32,28,5,9,24,26,40,27,32,2,3,34,34,42,25,4,2,2,26,36,31,29,46,13,4,43,36,46,33,34,32,24,779
15:00:00,27,31,29,2,5,25,17,22,24,16,6,1,21,25,34,18,4,6,2,27,22,26,21,26,5,2,29,30,32,37,25,25,19,597
16:00:00,17,19,21,4,3,20,33,22,17,25,5,3,41,31,19,23,1,8,5,25,24,18,23,21,7,4,23,16,17,31,27,22,17,553
17:00:00,13,20,10,7,4,18,32,20,19,9,5,1,22,24,16,20,5,4,3,40,21,8,28,2,2,1,12,14,13,15,9,17,13,417
18:00:00,7,7,9,2,2,10,17,17,11,6,3,4,10,11,11,6,0,4,4,11,8,7,9,7,8,2,5,8,8,7,11,9,7,232
19:00:00,8,7,6,1,5,5,4,7,9,1,0,1,3,6,5,3,1,3,2,4,1,4,3,7,3,1,3,5,8,10,4,5,4,130
20:00:00,4,3,5,1,0,6,7,0,8,3,2,1,4,9,2,4,1,2,2,3,5,4,8,2,0,0,4,3,7,8,2,4,3,110
21:00:00,1,1,4,1,0,2,2,2,3,2,0,1,2,1,1,3,2,1,1,1,1,3,3,4,1,2,0,4,0,6,3,2,2,58
22:00:00,3,2,7,2,1,3,3,3,2,1,3,2,1,2,1,1,1,0,2,2,1,3,2,0,0,0,0,2,0,2,4,2,2,56
23:00:00,2,3,0,3,0,1,1,0,2,2,1,0,2,6,1,4,1,1,1,3,2,4,2,5,4,2,0,1,2,2,0,2,2,58
