,2023-05-01,2023-05-02,2023-05-03,2023-05-04,2023-05-05,2023-05-06,2023-05-07,2023-05-08,2023-05-09,2023-05-10,2023-05-11,2023-05-12,2023-05-13,2023-05-14,2023-05-15,2023-05-16,2023-05-17,2023-05-18,2023-05-19,2023-05-20,2023-05-21,2023-05-22,2023-05-23,2023-05-24,2023-05-25,2023-05-26,2023-05-27,2023-05-28,2023-05-29,2023-05-30,2023-05-31,Workday,7 Day,Count
00:00:00,2,2,4,1,4,4,2,0,7,3,1,5,4,0,1,1,4,7,3,4,5,3,1,2,1,2,4,3,0,3,2,3,3,85
01:00:00,2,0,0,2,5,2,0,3,7,4,3,1,2,1,0,2,4,2,4,2,0,0,1,2,1,2,0,2,0,1,1,2,2,56
02:00:00,0,0,0,1,3,6,0,0,8,1,1,0,2,0,1,1,0,3,0,2,0,0,0,0,0,1,1,1,1,2,0,1,1,35
03:00:00,1,2,3,1,3,5,0,1,6,1,2,4,3,0,2,3,2,4,1,5,0,1,3,3,3,7,2,1,4,2,4,3,3,79
04:00:00,5,2,4,2,6,3,0,6,2,2,5,9,3,0,3,3,2,5,6,6,0,1,3,2,8,8,0,0,5,3,2,4,3,106
05:00:00,3,17,15,11,16,5,1,9,18,16,17,14,10,0,12,16,15,15,13,10,0,12,18,18,19,17,5,1,11,16,16,15,12,366
06:00:00,6,19,17,22,22,8,1,24,20,15,24,20,11,1,26,25,20,24,21,11,3,18,20,17,15,15,9,1,25,17,14,19,15,491
07:00:00,3,32,41,29,32,18,3,32,36,43,29,44,11,2,31,36,36,26,39,9,2,21,33,33,29,39,12,1,32,35,26,32,25,795
08:00:00,3,34,30,34,35,9,1,33,33,30,20,41,13,2,42,28,21,27,32,13,3,29,34,27,27,39,13,1,30,19,28,29,23,731
09:00:00,2,45,50,37,45,18,1,47,42,40,44,43,9,2,33,37,43,33,47,7,5,33,48,41,38,43,19,1,37,29,43,39,30,962
10:00:00,6,36,46,46,42,10,8,37,47,35,37,39,7,4,36,31,42,36,38,15,1,36,44,42,35,43,12,6,47,28,39,38,29,931
11:00:00,8,47,35,36,40,18,8,44,57,47,45,41,12,8,43,29,36,24,40,7,7,46,48,44,47,48,11,7,41,33,60,41,32,1017
12:00:00,6,38,33,47,39,11,2,39,34,43,41,39,13,3,31,40,31,31,38,5,2,38,34,33,31,36,18,3,33,46,43,36,28,881
13:00:00,5,38,42,45,33,8,9,31,33,36,28,36,9,5,34,34,28,33,30,7,2,26,40,33,41,33,11,6,38,36,28,33,26,818
14:00:00,3,38,30,42,38,9,2,38,45,37,35,25,6,3,32,38,28,29,35,4,2,32,30,33,28,38,7,2,33,34,36,33,25,792
15:00:00,5,20,27,42,29,3,4,40,31,37,29,26,9,1,38,29,28,27,32,6,5,26,21,29,29,19,9,3,21,25,27,28,21,677
16:00:00,7,24,16,30,16,11,3,40,24,28,19,17,5,2,28,26,19,18,24,8,5,29,24,15,20,19,9,3,17,24,23,22,17,553
17:00:00,5,12,9,9,4,7,1,9,9,9,15,5,5,4,23,26,6,13,8,5,4,17,24,10,17,5,5,7,15,11,7,12,10,306
18:00:00,4,10,6,5,6,4,8,12,5,11,6,7,8,5,8,18,7,10,8,3,3,10,9,6,6,4,2,7,6,7,2,8,7,213
19:00:00,2,3,8,5,5,0,7,8,10,4,10,1,4,0,10,14,7,9,5,2,2,4,3,6,11,4,1,5,5,10,3,6,5,168
20:00:00,3,4,4,7,7,2,4,6,10,4,5,2,8,0,2,5,3,5,2,4,1,4,3,5,6,3,2,2,6,3,5,5,4,127
21:00:00,4,3,4,3,10,4,1,5,10,2,5,4,1,0,1,5,12,4,5,0,2,2,3,5,4,4,1,2,1,4,2,4,4,113
22:00:00,3,4,2,7,8,3,1,8,10,6,3,7,4,3,4,7,7,3,3,3,1,3,1,3,1,1,1,1,2,4,2,4,4,116
23:00:00,0,1,3,4,8,1,2,10,3,7,4,6,1,3,3,10,7,5,4,1,1,3,5,5,1,1,4,1,1,3,6,4,4,114
