,2024-04-01,2024-04-02,2024-04-03,2024-04-04,2024-04-05,2024-04-06,2024-04-07,2024-04-08,2024-04-09,2024-04-10,2024-04-11,2024-04-12,2024-04-13,2024-04-14,2024-04-15,2024-04-16,2024-04-17,2024-04-18,2024-04-19,2024-04-20,2024-04-21,2024-04-22,2024-04-23,2024-04-24,2024-04-25,2024-04-26,2024-04-27,2024-04-28,2024-04-29,2024-04-30,Workday,7 Day,Count
00:00:00,22,14,38,19,34,33,44,20,34,36,51,25,31,27,19,23,18,16,24,39,45,11,32,17,14,17,30,46,15,19,24,27,813
01:00:00,19,6,22,19,29,35,39,11,23,27,24,13,27,34,13,5,11,11,14,25,25,15,18,4,13,19,27,20,12,22,16,20,582
02:00:00,18,6,20,11,24,19,21,7,16,21,34,15,18,22,11,5,6,11,13,23,21,10,13,10,10,16,21,26,10,26,14,16,484
03:00:00,17,14,25,18,19,25,28,17,30,30,38,23,27,35,11,15,17,18,24,25,27,18,23,18,14,23,31,32,21,22,21,23,685
04:00:00,8,35,37,31,25,39,18,20,24,28,27,29,18,20,31,24,17,33,26,14,14,35,25,23,34,36,31,25,18,31,27,26,776
05:00:00,15,35,42,48,60,26,13,61,49,59,52,61,26,16,48,52,55,44,67,33,16,42,49,58,59,59,33,20,55,58,51,43,1311
06:00:00,28,93,115,104,114,35,18,120,105,118,125,123,44,26,107,131,156,124,124,46,28,120,130,151,122,133,56,20,101,136,117,94,2853
07:00:00,36,242,301,279,289,78,30,258,331,305,330,337,103,41,285,322,323,319,295,101,44,287,304,315,336,329,99,48,309,274,291,227,6950
08:00:00,44,267,296,243,266,100,51,228,296,259,268,283,150,45,270,262,331,266,291,118,63,271,254,274,310,308,146,56,271,240,264,214,6527
09:00:00,67,322,291,297,305,125,74,337,326,313,310,325,186,77,313,328,316,293,317,171,83,331,323,342,322,324,192,81,334,298,306,254,7723
10:00:00,73,319,335,299,295,123,103,356,308,334,311,338,192,115,251,264,311,292,334,209,99,280,301,337,321,298,205,90,312,284,298,253,7689
11:00:00,74,278,281,282,291,147,130,335,265,298,315,274,216,119,285,282,327,316,305,217,112,293,303,290,301,328,197,124,287,346,289,251,7618
12:00:00,107,307,291,278,260,157,128,262,299,299,299,311,197,109,286,307,337,304,307,161,113,281,282,266,308,288,172,136,279,296,284,245,7427
13:00:00,108,261,238,260,236,159,124,249,250,307,311,273,177,138,253,274,287,237,282,188,128,306,254,298,279,258,185,127,275,255,261,231,6977
14:00:00,119,269,270,278,308,122,118,270,317,325,294,324,171,124,296,269,301,286,307,166,119,327,280,319,332,343,160,108,320,292,293,248,7534
15:00:00,100,303,279,311,287,133,133,270,268,316,312,278,145,105,294,271,315,307,278,127,97,271,286,262,315,245,174,125,288,299,280,237,7194
16:00:00,106,307,318,277,245,109,117,266,281,275,263,213,139,122,268,258,286,240,230,113,108,303,240,270,263,283,111,131,288,291,262,221,6721
17:00:00,117,214,198,185,201,112,106,168,228,214,188,207,122,109,206,214,210,146,222,135,99,204,203,189,242,217,112,124,207,209,200,175,5308
18:00:00,94,115,162,127,137,113,91,155,171,176,140,147,112,83,149,157,192,194,151,111,95,157,177,194,169,155,109,96,145,152,155,140,4226
19:00:00,85,95,105,116,129,85,85,103,136,115,132,114,79,72,104,115,126,157,114,80,78,102,114,155,119,109,107,79,121,141,118,108,3272
20:00:00,82,68,79,74,87,71,53,83,86,81,99,101,81,85,89,93,118,105,88,82,66,102,87,101,91,107,62,60,100,87,91,85,2568
21:00:00,54,109,47,131,78,47,34,110,125,108,55,62,68,46,61,69,67,66,65,51,46,102,56,60,72,71,64,43,100,120,81,72,2187
22:00:00,31,72,31,85,44,27,35,66,79,81,38,33,48,37,34,45,36,49,26,52,33,70,39,32,47,39,61,44,93,80,52,49,1487
23:00:00,18,43,31,55,44,37,29,57,54,52,47,24,56,26,29,16,23,57,24,50,31,49,35,45,20,45,55,22,58,55,40,40,1187
