,2023-08-01,2023-08-02,2023-08-03,2023-08-04,2023-08-05,2023-08-06,2023-08-07,2023-08-08,2023-08-09,2023-08-10,2023-08-11,2023-08-12,2023-08-13,2023-08-14,2023-08-15,2023-08-16,2023-08-17,2023-08-18,2023-08-19,2023-08-20,2023-08-21,2023-08-22,2023-08-23,2023-08-24,2023-08-25,2023-08-26,2023-08-27,2023-08-28,2023-08-29,2023-08-30,2023-08-31,Workday,7 Day,Count
00:00:00,24,10,18,22,27,34,36,19,18,29,22,33,38,22,17,20,28,23,25,35,22,15,18,16,23,38,26,21,23,16,17,21,24,735
01:00:00,11,7,13,15,25,27,25,11,3,10,17,20,26,7,11,12,11,16,34,30,6,9,15,7,28,30,26,6,13,17,13,12,17,501
02:00:00,10,9,11,18,30,28,23,16,13,18,24,21,30,14,11,12,24,17,15,38,23,20,14,14,19,30,25,14,22,9,12,16,19,584
03:00:00,16,13,18,14,16,29,18,22,17,19,19,22,19,14,18,20,15,24,20,26,14,21,16,17,18,26,25,11,10,21,13,17,19,571
04:00:00,23,27,28,29,18,19,19,23,24,29,26,14,12,23,21,32,22,26,16,13,19,25,23,21,25,18,14,23,21,26,22,24,22,681
05:00:00,42,34,42,39,28,18,23,53,58,48,42,25,18,47,51,36,32,39,23,17,39,45,49,42,44,36,15,47,41,37,49,43,37,1159
06:00:00,125,123,127,113,43,28,34,112,109,132,95,41,20,106,122,125,123,108,50,17,113,126,129,130,119,56,19,100,120,116,141,115,92,2922
07:00:00,208,257,229,216,67,25,51,248,266,274,278,77,36,222,253,248,242,235,108,32,206,272,235,288,278,91,40,251,297,278,272,244,191,6080
08:00:00,263,278,278,266,111,45,41,244,262,253,260,115,44,258,260,266,295,244,131,68,282,273,284,277,248,146,44,319,306,292,289,263,213,6742
09:00:00,278,279,315,261,126,53,65,319,280,325,291,152,60,296,309,322,331,289,159,64,338,319,348,336,331,161,72,307,323,293,337,300,244,7739
10:00:00,281,270,276,307,155,70,102,284,289,276,274,149,73,277,286,311,308,280,161,94,270,309,324,283,299,162,79,270,297,337,286,282,235,7439
11:00:00,280,255,301,318,156,90,93,273,277,286,269,162,92,269,267,301,271,304,151,95,292,263,302,300,295,185,93,295,302,322,282,279,236,7441
12:00:00,278,274,273,293,156,85,122,271,281,257,269,166,104,265,290,274,285,295,158,120,273,308,278,286,314,184,96,296,280,307,268,276,235,7406
13:00:00,251,230,257,289,178,96,112,254,252,242,245,152,89,246,249,266,251,261,154,121,285,243,271,290,294,177,125,302,257,255,292,256,222,6986
14:00:00,271,252,270,242,149,96,133,268,272,297,267,158,109,307,296,294,286,253,177,93,255,274,288,263,281,142,104,290,271,305,287,271,230,7250
15:00:00,279,292,259,301,143,91,116,278,260,282,323,143,112,286,291,312,264,239,136,95,291,263,307,308,246,115,106,274,294,298,310,277,232,7314
16:00:00,256,246,250,220,107,94,86,281,251,265,213,142,109,244,255,269,269,188,146,108,270,241,283,252,184,136,101,279,258,260,291,244,208,6554
17:00:00,186,203,205,177,99,88,109,186,187,208,160,108,115,195,191,214,204,140,152,137,197,217,221,207,179,125,98,184,199,206,236,192,170,5333
18:00:00,161,143,125,117,108,92,96,121,160,155,124,99,101,129,156,140,165,88,97,98,136,153,147,152,121,98,106,145,144,152,140,138,127,3969
19:00:00,115,119,113,105,76,65,76,103,103,108,109,66,86,95,109,90,108,83,84,80,118,110,131,139,102,93,78,95,123,132,128,109,101,3142
20:00:00,73,82,81,53,69,57,62,66,93,89,112,59,49,81,64,103,95,66,60,76,74,86,83,95,77,65,81,71,60,82,91,80,76,2355
21:00:00,43,59,56,51,35,51,30,55,66,65,67,54,28,66,50,87,61,56,53,37,54,52,51,65,56,53,50,49,65,54,51,57,54,1670
22:00:00,44,39,45,39,45,37,31,41,46,40,37,39,37,35,41,50,44,34,45,31,41,31,30,35,51,44,35,31,40,32,47,39,39,1217
23:00:00,35,23,33,31,32,36,30,17,24,26,36,38,29,42,28,36,34,31,44,21,19,19,28,36,38,39,37,34,17,32,24,29,31,949
