,2023-12-01,2023-12-02,2023-12-03,2023-12-04,2023-12-05,2023-12-06,2023-12-07,2023-12-08,2023-12-09,2023-12-10,2023-12-11,2023-12-12,2023-12-13,2023-12-14,2023-12-15,2023-12-16,2023-12-17,2023-12-18,2023-12-19,2023-12-20,2023-12-21,2023-12-22,2023-12-23,2023-12-24,2023-12-25,2023-12-26,2023-12-27,2023-12-28,2023-12-29,2023-12-30,2023-12-31,Workday,7 Day,Count
00:00:00,36,52,54,21,18,12,23,39,52,43,13,15,15,20,41,61,51,28,13,30,36,44,51,45,17,6,20,27,37,42,35,24,31,997
01:00:00,16,27,64,7,8,8,10,16,45,56,10,10,7,11,27,45,66,11,8,20,18,34,42,35,7,5,19,21,17,30,24,14,22,724
02:00:00,20,36,48,16,8,10,11,25,50,41,21,10,19,15,27,59,50,7,12,16,19,38,52,24,3,1,16,16,17,28,14,16,23,729
03:00:00,34,32,28,23,13,18,14,21,40,45,26,16,20,14,28,33,36,22,14,14,29,24,42,34,5,7,31,15,23,30,20,20,24,751
04:00:00,29,18,20,28,24,20,29,29,22,23,26,21,21,16,28,26,21,26,23,25,24,30,30,32,1,13,19,16,18,14,20,22,22,692
05:00:00,53,29,15,40,55,47,52,46,26,21,42,39,54,41,57,25,16,40,39,41,37,40,25,27,1,9,28,33,34,26,17,39,35,1055
06:00:00,130,49,30,106,123,139,134,110,55,22,126,117,118,125,117,56,25,102,103,109,104,61,39,37,6,15,30,54,40,39,24,94,78,2345
07:00:00,283,89,28,271,269,310,286,303,126,36,251,295,304,305,308,77,46,247,268,271,289,188,72,42,10,24,52,68,68,37,23,222,175,5246
08:00:00,300,135,44,277,246,273,240,349,139,41,298,288,304,252,307,125,50,265,284,257,279,260,122,73,14,27,74,81,96,66,30,227,186,5596
09:00:00,310,162,63,291,324,298,296,306,186,85,333,311,359,330,321,168,83,321,306,325,327,285,184,89,37,44,87,110,113,95,43,259,218,6592
10:00:00,326,177,80,329,331,289,338,269,231,129,272,333,279,343,299,204,101,305,302,318,336,287,137,122,37,47,108,131,139,119,69,258,223,6787
11:00:00,304,183,129,267,291,309,334,311,240,117,316,331,311,302,315,187,126,310,283,319,323,273,157,123,46,67,114,165,156,101,85,259,227,6895
12:00:00,283,192,153,293,292,279,299,313,161,120,299,278,295,286,277,195,145,284,293,276,249,191,162,115,55,74,115,158,150,131,90,240,213,6503
13:00:00,266,213,132,267,260,282,279,289,184,140,283,277,242,282,280,149,130,270,273,255,245,205,139,113,63,92,123,167,134,108,110,230,205,6252
14:00:00,302,179,130,306,301,317,318,306,112,136,307,300,301,287,266,138,144,279,266,279,256,214,130,123,51,78,127,157,155,101,100,246,213,6466
15:00:00,307,166,124,336,330,318,305,292,136,129,322,292,292,275,257,148,123,286,266,241,252,170,128,91,49,91,123,137,132,113,89,242,208,6320
16:00:00,275,140,125,293,283,276,274,256,134,131,242,265,288,243,252,137,126,268,257,241,181,172,142,84,34,72,113,125,156,97,83,217,190,5765
17:00:00,177,121,142,208,236,196,176,184,152,101,128,175,224,218,156,139,106,183,171,173,173,137,102,79,33,47,103,113,136,97,79,159,146,4465
18:00:00,118,105,94,138,213,124,139,143,130,91,129,150,154,152,151,119,87,130,146,159,132,127,94,59,28,46,79,99,94,87,57,126,117,3574
19:00:00,121,110,69,102,148,99,168,140,104,86,111,131,86,148,120,111,94,120,116,137,111,104,92,39,37,38,69,75,94,61,58,108,101,3099
20:00:00,105,79,68,105,88,77,81,77,76,79,82,98,83,117,99,71,85,78,89,100,96,75,70,34,28,46,52,57,66,51,49,81,77,2361
21:00:00,59,32,54,45,57,52,58,91,64,44,53,55,71,75,82,74,46,61,65,91,79,69,73,35,22,34,45,54,47,52,48,60,58,1787
22:00:00,81,52,32,26,36,34,54,72,52,36,26,22,31,48,71,55,40,51,51,60,59,56,41,19,32,26,14,34,40,30,29,44,42,1310
23:00:00,49,50,26,32,33,26,44,65,58,14,35,30,22,54,61,43,14,18,33,49,66,57,48,15,19,26,17,38,29,22,18,38,36,1111
