,2023-02-01,2023-02-02,2023-02-03,2023-02-04,2023-02-05,2023-02-06,2023-02-07,2023-02-08,2023-02-09,2023-02-10,2023-02-11,2023-02-12,2023-02-13,2023-02-14,2023-02-15,2023-02-16,2023-02-17,2023-02-18,2023-02-19,2023-02-20,2023-02-21,2023-02-22,2023-02-23,2023-02-24,2023-02-25,2023-02-26,2023-02-27,2023-02-28,Workday,7 Day,Count
00:00:00,18,22,15,33,27,36,8,13,16,19,43,30,14,18,18,13,36,29,27,8,10,6,21,15,35,26,15,7,16,21,578
01:00:00,9,10,15,29,25,27,4,8,9,6,22,26,4,8,11,10,25,31,25,11,6,5,11,7,41,31,7,4,10,15,427
02:00:00,8,14,18,18,17,22,13,8,11,17,15,15,10,18,10,6,22,27,23,10,9,11,16,15,23,28,11,9,13,15,424
03:00:00,20,12,24,18,22,20,14,19,13,15,30,22,17,14,15,18,26,23,11,14,18,21,16,14,25,20,12,18,17,18,511
04:00:00,30,22,26,19,7,11,30,22,22,25,24,12,18,22,16,21,29,28,6,23,23,20,18,24,18,12,33,22,23,21,583
05:00:00,44,45,42,33,13,22,41,48,38,53,27,13,36,46,54,35,53,25,13,41,33,45,39,45,26,11,38,41,42,36,1000
06:00:00,135,120,98,60,17,27,126,139,136,119,57,18,112,132,102,114,125,50,26,143,152,122,132,119,51,26,111,120,119,96,2689
07:00:00,297,259,270,88,37,56,276,293,262,292,96,30,261,268,287,261,258,114,34,267,274,278,293,274,105,35,267,292,264,208,5824
08:00:00,286,302,315,119,46,47,275,295,285,280,141,59,268,271,321,269,255,128,52,265,239,289,266,308,125,62,312,257,270,219,6137
09:00:00,296,311,315,163,54,71,346,303,313,334,170,64,322,336,311,272,301,165,55,324,322,352,343,311,164,74,331,305,306,251,7028
10:00:00,286,256,308,197,90,89,306,307,290,289,178,102,289,265,272,283,327,181,85,260,297,331,290,287,160,88,271,292,280,238,6676
11:00:00,288,313,296,197,100,95,340,286,290,312,170,107,281,248,315,289,312,175,101,310,286,295,263,281,173,96,278,300,284,243,6797
12:00:00,304,299,268,178,121,100,299,323,278,294,188,123,296,311,291,293,285,181,113,298,268,266,295,289,161,117,278,299,282,243,6816
13:00:00,271,268,298,164,117,121,265,263,237,292,169,117,269,263,255,261,273,149,147,233,298,286,242,260,165,121,261,243,258,225,6308
14:00:00,308,292,318,134,103,123,287,309,319,302,147,119,290,271,231,263,293,166,140,272,301,259,304,258,131,104,267,275,277,235,6586
15:00:00,255,293,258,109,118,125,297,318,283,303,104,98,278,289,297,272,312,126,114,297,311,296,322,284,131,109,295,283,283,235,6577
16:00:00,275,308,197,135,75,117,301,250,277,248,116,92,291,299,278,327,239,161,109,284,270,291,286,263,146,111,280,294,269,226,6320
17:00:00,189,168,194,117,105,106,184,196,180,182,99,91,215,204,188,191,166,99,110,217,180,213,206,169,101,108,172,203,186,163,4553
18:00:00,135,151,159,102,64,83,156,128,171,134,99,88,137,147,114,116,156,86,114,140,155,143,133,152,108,99,140,156,140,127,3566
19:00:00,122,136,127,88,68,69,149,110,134,101,69,65,104,107,125,127,105,88,70,102,128,143,106,92,86,68,128,94,115,104,2911
20:00:00,80,76,70,54,55,44,84,81,95,91,54,46,68,80,73,85,73,62,50,79,63,85,86,84,47,51,79,86,78,71,1981
21:00:00,43,48,63,62,36,33,51,57,57,64,60,36,45,57,72,62,40,54,37,44,64,50,48,49,40,39,52,51,52,50,1414
22:00:00,34,42,31,80,23,15,46,41,36,44,33,29,39,33,38,37,59,37,29,27,31,30,48,31,36,29,30,26,36,36,1014
23:00:00,32,28,55,26,27,18,20,19,21,50,45,28,20,36,33,28,37,34,21,18,24,32,30,42,41,20,13,23,29,29,821
