,2024-02-01,2024-02-02,2024-02-03,2024-02-04,2024-02-05,2024-02-06,2024-02-07,2024-02-08,2024-02-09,2024-02-10,2024-02-11,2024-02-12,2024-02-13,2024-02-14,2024-02-15,2024-02-16,2024-02-17,2024-02-18,2024-02-19,2024-02-20,2024-02-21,2024-02-22,2024-02-23,2024-02-24,2024-02-25,2024-02-26,2024-02-27,2024-02-28,2024-02-29,Workday,7 Day,Count
00:00:00,25,18,29,28,15,9,16,15,12,38,20,18,20,12,31,34,30,30,12,11,12,18,33,29,40,12,15,24,25,18,22,631
01:00:00,11,18,33,34,22,5,7,9,9,50,38,5,8,10,15,11,22,34,10,10,7,9,14,17,31,7,21,25,16,12,18,508
02:00:00,18,22,11,37,30,10,12,15,18,31,35,8,11,9,21,20,19,24,9,5,7,9,19,32,40,8,12,19,23,15,19,534
03:00:00,22,26,26,23,40,17,12,14,24,29,19,22,18,15,17,24,20,18,14,16,13,13,17,23,24,14,32,41,17,20,21,610
04:00:00,34,31,25,23,23,29,19,32,25,30,18,23,22,31,23,33,29,19,28,22,18,28,23,12,13,24,20,22,21,25,24,700
05:00:00,54,45,32,14,16,64,48,47,48,32,21,54,39,57,42,46,26,21,46,47,52,44,46,28,11,41,50,45,44,46,40,1160
06:00:00,130,108,46,13,30,113,140,124,126,42,20,131,116,130,101,106,41,10,107,104,109,117,104,47,19,120,113,129,129,114,90,2625
07:00:00,266,280,102,35,54,311,298,281,282,104,42,273,281,286,294,271,91,52,279,287,286,305,294,108,31,277,309,280,300,276,217,6359
08:00:00,262,291,125,45,60,290,226,245,295,115,42,247,284,297,296,275,134,48,287,262,262,308,310,124,45,280,289,242,306,267,215,6292
09:00:00,320,340,164,76,60,320,320,319,335,164,94,340,323,288,320,335,167,55,313,334,304,335,280,187,71,287,320,319,336,307,254,7426
10:00:00,316,327,161,72,83,296,302,306,330,203,89,313,292,274,277,262,172,93,257,300,291,297,325,171,80,282,295,305,314,288,243,7085
11:00:00,295,302,185,85,106,302,248,297,359,165,90,285,291,299,291,255,148,113,286,299,264,337,337,193,120,294,286,285,293,286,244,7110
12:00:00,300,306,181,123,124,293,279,294,317,165,111,279,277,347,281,306,207,131,285,254,287,302,315,214,100,284,294,278,288,285,248,7222
13:00:00,262,273,144,102,110,285,281,273,309,140,138,233,275,262,272,275,168,138,262,269,260,275,310,161,127,255,279,285,275,266,230,6698
14:00:00,299,283,138,104,122,336,307,284,289,158,124,255,295,275,290,257,136,106,294,282,309,286,274,144,122,287,280,307,307,282,238,6950
15:00:00,287,264,149,89,109,311,300,293,308,144,100,298,274,284,258,272,163,112,299,304,283,268,276,137,99,289,296,304,292,279,235,6862
16:00:00,261,225,126,115,105,258,291,295,230,167,86,269,254,267,300,222,150,117,272,251,306,243,214,120,79,292,249,266,257,254,215,6287
17:00:00,211,187,91,93,92,163,193,213,216,97,78,194,234,181,221,180,122,103,197,206,220,196,179,111,130,215,201,208,206,196,169,4938
18:00:00,141,141,84,88,64,144,126,146,149,117,78,135,141,96,138,146,122,86,161,121,159,139,137,84,117,132,156,148,178,138,126,3674
19:00:00,120,116,135,84,74,112,113,121,132,78,82,119,96,94,139,108,88,63,108,99,139,106,111,105,79,98,119,96,126,112,105,3060
20:00:00,87,98,115,49,37,94,86,93,94,62,72,82,86,77,111,79,84,56,71,77,87,93,90,57,70,84,74,88,71,84,80,2324
21:00:00,53,49,49,50,50,57,61,57,57,110,46,63,61,57,79,66,39,37,59,59,54,110,77,54,47,101,91,90,81,68,64,1864
22:00:00,40,51,40,42,27,28,49,64,59,52,35,24,38,51,47,46,50,43,59,42,45,93,43,40,35,68,57,78,46,50,48,1392
23:00:00,32,20,46,30,18,20,21,29,43,32,28,27,25,42,37,37,29,15,37,27,25,44,38,35,22,55,58,38,30,33,32,940
