,2024-01-01,2024-01-02,2024-01-03,2024-01-04,2024-01-05,2024-01-06,2024-01-07,2024-01-08,2024-01-09,2024-01-10,2024-01-11,2024-01-12,2024-01-13,2024-01-14,2024-01-15,2024-01-16,2024-01-17,2024-01-18,2024-01-19,2024-01-20,2024-01-21,2024-01-22,2024-01-23,2024-01-24,2024-01-25,2024-01-26,2024-01-27,2024-01-28,2024-01-29,2024-01-30,2024-01-31,Workday,7 Day,Count
00:00:00,32,9,25,18,13,26,,,,24,28,38,20,43,14,16,21,17,16,17,35,14,20,7,17,23,28,25,12,17,14,19,21,589
01:00:00,48,13,13,16,7,0,,,,15,17,27,13,13,10,9,6,11,8,17,38,7,11,9,5,18,15,22,8,9,6,13,15,391
02:00:00,45,7,12,10,9,,,,,23,31,25,18,13,7,11,16,11,23,24,15,7,14,11,7,16,11,25,7,10,13,15,16,421
03:00:00,20,15,14,15,17,,,,,31,30,27,16,16,15,15,12,12,26,21,22,19,14,15,16,20,22,17,23,12,16,18,18,498
04:00:00,18,13,17,16,30,,,,,23,18,24,17,15,18,30,19,33,32,23,21,24,17,14,28,33,26,18,21,24,16,22,22,588
05:00:00,18,36,35,43,41,,,,,44,51,55,34,12,54,44,54,47,52,29,17,53,45,49,63,43,32,13,44,43,51,46,39,1102
06:00:00,16,82,98,105,101,,,,,117,129,128,44,17,122,102,147,118,108,35,21,120,122,115,154,130,37,27,111,115,118,112,89,2539
07:00:00,15,167,193,204,216,,,,,249,276,265,72,28,252,266,275,282,265,65,37,228,231,274,246,286,70,36,281,283,255,239,185,5317
08:00:00,24,173,219,246,236,,,,,264,286,257,118,30,278,245,282,273,310,121,34,283,243,266,255,282,128,44,250,260,252,247,199,5659
09:00:00,30,179,248,264,243,,,,,297,354,269,148,69,278,298,269,314,308,174,61,316,298,324,326,319,154,62,321,317,307,280,232,6547
10:00:00,49,212,246,273,242,87,,,,283,281,299,159,66,290,286,250,345,315,155,92,291,263,316,309,290,166,89,301,373,302,277,231,6630
11:00:00,65,224,263,262,278,152,,,,291,304,272,183,124,260,299,270,287,308,181,101,278,315,281,287,291,180,126,272,328,273,272,237,6755
12:00:00,62,212,250,271,282,163,,,,274,295,284,169,90,319,292,260,286,297,159,89,283,249,272,320,293,172,112,247,273,270,266,229,6545
13:00:00,78,212,230,227,245,155,,,54,261,266,292,191,114,245,264,253,249,282,174,97,279,253,257,269,270,182,100,242,279,253,248,218,6219
14:00:00,83,217,242,234,273,152,,,299,285,264,269,163,124,273,290,331,286,287,166,101,294,268,319,289,284,158,119,319,319,291,273,235,6999
15:00:00,60,221,236,236,246,125,,,296,270,265,262,128,131,280,279,304,280,314,126,97,262,284,296,277,282,130,149,280,277,280,263,224,6673
16:00:00,74,243,223,224,228,21,,,239,187,257,229,124,101,271,225,262,273,229,131,83,285,264,277,247,228,131,111,298,267,299,242,205,6010
17:00:00,67,155,150,183,168,,,,174,189,198,166,129,95,192,202,215,186,166,116,93,172,179,213,197,181,108,102,209,184,196,179,159,4585
18:00:00,60,94,105,116,120,,,,126,159,145,131,79,91,120,146,145,148,121,74,84,138,120,171,159,174,109,82,118,155,152,133,120,3442
19:00:00,52,74,96,108,88,,,,107,119,127,125,90,59,107,102,107,121,104,76,43,89,124,114,113,135,71,89,94,94,107,105,95,2735
20:00:00,51,57,63,70,58,,,,72,82,78,76,59,49,93,80,71,88,84,54,41,80,82,104,95,82,69,45,72,78,92,78,71,2025
21:00:00,26,29,43,48,67,,,,75,96,118,44,49,36,50,55,52,57,61,54,37,53,47,50,69,60,53,57,48,41,42,56,54,1517
22:00:00,21,24,29,37,37,,,,58,67,78,36,44,22,24,23,35,41,47,43,26,43,22,26,41,56,49,27,48,23,42,39,38,1069
23:00:00,19,24,27,28,7,,,,35,33,53,19,31,22,31,15,26,12,22,53,14,24,14,24,33,20,52,17,23,25,24,25,27,720
