,2023-07-01,2023-07-02,2023-07-03,2023-07-04,2023-07-05,2023-07-06,2023-07-07,2023-07-08,2023-07-09,2023-07-10,2023-07-11,2023-07-12,2023-07-13,2023-07-14,2023-07-15,2023-07-16,2023-07-17,2023-07-18,2023-07-19,2023-07-20,2023-07-21,2023-07-22,2023-07-23,2023-07-24,2023-07-25,2023-07-26,2023-07-27,2023-07-28,2023-07-29,2023-07-30,2023-07-31,Workday,7 Day,Count
00:00:00,33,29,23,11,24,21,34,25,34,22,29,34,34,17,40,42,26,26,18,22,25,29,26,15,35,21,20,24,34,36,21,24,26,830
01:00:00,26,26,5,10,11,11,18,32,34,19,10,19,27,12,29,29,15,9,11,13,8,33,28,11,4,12,9,10,25,37,6,12,17,549
02:00:00,32,22,11,14,11,18,15,25,36,13,14,24,28,23,30,25,19,13,11,16,12,17,21,12,12,13,13,18,24,32,13,15,19,587
03:00:00,30,28,18,19,15,19,19,22,26,9,19,28,31,16,39,20,18,18,12,14,25,26,32,18,22,14,16,17,37,26,22,19,21,675
04:00:00,21,30,29,24,16,33,37,16,23,27,28,33,29,33,30,29,31,30,25,25,32,22,14,31,17,30,22,30,21,22,23,28,26,813
05:00:00,28,23,48,44,45,44,44,35,27,51,51,66,49,36,39,21,45,41,47,52,40,26,16,44,31,44,53,41,28,17,41,46,40,1217
06:00:00,74,23,112,136,131,142,137,63,29,103,150,145,143,129,51,20,107,134,131,152,120,54,22,106,129,118,133,137,48,10,119,129,104,3108
07:00:00,102,54,246,281,272,295,234,99,37,242,259,263,268,254,96,39,229,257,262,248,234,91,28,236,267,226,240,235,111,29,216,251,199,5950
08:00:00,131,50,280,304,294,311,283,157,51,280,284,283,273,265,123,41,261,256,295,243,301,124,57,266,278,286,293,282,120,41,244,279,225,6757
09:00:00,162,62,276,305,311,327,321,146,66,283,317,301,278,306,168,69,282,292,292,298,302,157,56,286,285,288,303,290,157,57,271,296,243,7314
10:00:00,176,71,292,279,281,280,303,156,72,288,249,277,294,270,132,77,291,301,304,296,318,167,69,250,283,295,269,310,152,89,299,287,238,7190
11:00:00,207,93,264,296,281,288,320,185,90,299,291,269,282,308,169,77,264,298,250,266,288,166,92,275,286,279,290,272,169,95,271,283,240,7280
12:00:00,161,103,263,268,239,286,319,182,105,269,325,241,283,278,178,116,284,252,282,282,276,155,105,271,258,276,284,291,181,99,278,276,237,7190
13:00:00,129,101,228,248,231,245,305,152,106,246,252,254,254,259,165,95,238,248,259,195,260,164,129,252,221,247,249,300,177,117,235,249,216,6561
14:00:00,139,84,279,263,252,282,267,172,96,259,251,238,274,257,135,115,252,269,260,257,308,154,125,259,252,296,243,265,168,99,278,265,226,6848
15:00:00,141,96,268,306,276,260,257,168,84,284,300,258,284,276,117,117,257,276,267,265,246,149,121,250,261,292,244,260,129,108,266,269,227,6883
16:00:00,124,94,251,296,257,227,232,107,101,284,281,283,262,203,110,81,236,288,247,231,207,137,113,233,286,276,228,228,125,97,241,251,211,6366
17:00:00,106,100,227,188,197,169,177,112,88,201,191,203,207,164,103,93,196,209,190,209,181,124,83,214,172,221,178,141,108,94,192,192,166,5038
18:00:00,100,94,171,144,143,131,118,90,105,128,146,148,129,153,87,96,130,143,159,143,124,110,103,135,142,149,131,116,117,84,139,139,128,3908
19:00:00,82,78,107,80,122,112,106,78,96,101,136,121,125,109,98,71,93,106,111,97,109,73,81,107,127,92,135,126,90,85,113,111,103,3167
20:00:00,50,69,73,76,80,59,73,66,64,66,78,92,105,71,66,71,70,77,69,72,79,54,63,78,94,74,87,80,89,56,70,77,74,2271
21:00:00,38,45,58,56,51,49,58,72,59,52,99,109,64,55,37,45,48,58,62,56,54,52,42,50,60,52,56,76,38,49,55,61,57,1755
22:00:00,39,27,21,44,34,40,40,42,45,34,101,77,64,41,47,34,25,47,35,44,41,24,36,32,41,50,35,35,48,35,38,44,42,1296
23:00:00,42,39,33,16,34,34,31,36,34,31,49,53,36,33,37,21,26,42,35,42,43,38,32,20,29,30,38,33,24,20,19,34,33,1030
