,2023-06-01,2023-06-02,2023-06-03,2023-06-04,2023-06-05,2023-06-06,2023-06-07,2023-06-08,2023-06-09,2023-06-10,2023-06-11,2023-06-12,2023-06-13,2023-06-14,2023-06-15,2023-06-16,2023-06-17,2023-06-18,2023-06-19,2023-06-20,2023-06-21,2023-06-22,2023-06-23,2023-06-24,2023-06-25,2023-06-26,2023-06-27,2023-06-28,2023-06-29,2023-06-30,Workday,7 Day,Count
00:00:00,26,30,40,49,40,25,18,17,25,28,41,28,28,39,43,42,36,38,26,25,15,30,25,44,35,23,18,13,20,17,26,30,884
01:00:00,13,21,24,26,23,8,12,16,24,25,40,9,16,31,25,23,19,27,9,13,12,15,17,30,25,7,10,14,17,17,16,19,568
02:00:00,16,17,24,25,18,7,11,13,21,20,35,11,13,25,32,22,28,24,18,15,12,23,17,24,46,15,17,13,26,18,17,20,606
03:00:00,23,23,19,17,26,17,19,18,25,27,25,20,25,40,30,28,31,30,25,16,24,10,25,24,37,19,18,10,26,18,22,23,695
04:00:00,27,24,12,13,15,18,27,29,32,15,15,20,40,37,40,32,15,21,24,20,20,33,24,20,7,25,30,26,24,29,27,24,714
05:00:00,56,48,29,17,18,43,67,57,48,32,19,53,50,59,59,52,27,15,39,43,47,44,46,31,15,38,36,50,56,55,48,41,1249
06:00:00,123,114,45,28,31,129,127,130,114,57,27,134,129,119,127,118,54,24,116,123,154,139,113,57,20,118,158,141,132,97,122,98,2998
07:00:00,266,304,79,59,51,275,260,283,272,103,41,259,289,299,262,281,90,29,227,274,268,279,255,93,33,243,284,254,257,274,260,204,6243
08:00:00,249,277,137,35,59,268,262,281,304,138,53,279,290,301,293,251,118,51,265,281,282,304,317,141,48,285,251,281,315,278,272,220,6694
09:00:00,306,301,172,50,66,284,293,316,301,155,67,324,347,336,306,312,142,63,336,323,353,309,348,178,49,281,291,319,299,292,302,247,7519
10:00:00,292,333,188,51,103,319,299,272,299,191,83,268,303,329,318,308,151,89,235,291,317,273,301,202,91,288,279,311,297,314,289,243,7395
11:00:00,300,312,208,73,120,280,274,303,285,206,107,292,344,288,300,316,173,113,281,302,305,300,281,187,104,236,284,310,274,264,284,245,7422
12:00:00,305,290,157,80,114,315,297,295,298,180,94,298,287,286,280,268,194,103,278,286,299,329,308,180,96,285,291,241,282,254,281,240,7270
13:00:00,287,290,178,82,112,232,234,293,264,164,126,229,286,257,278,310,151,112,265,268,258,279,284,190,154,283,284,261,217,283,262,228,6911
14:00:00,280,306,132,68,114,282,260,271,289,154,109,292,292,308,252,297,132,97,285,283,282,274,275,148,116,274,294,294,249,237,272,229,6946
15:00:00,299,254,120,89,96,288,287,288,292,160,116,292,251,267,281,291,120,119,279,309,279,247,285,152,103,282,278,303,326,264,274,231,7017
16:00:00,259,202,118,77,123,263,287,265,230,128,122,313,292,267,268,214,135,94,279,262,258,234,202,146,106,237,264,283,287,206,250,211,6421
17:00:00,171,166,166,61,91,175,180,220,177,115,146,202,190,181,193,195,112,100,206,174,194,191,131,116,101,194,208,198,216,172,183,163,4942
18:00:00,136,147,107,75,87,136,138,152,126,117,94,141,133,151,174,124,114,106,133,146,139,147,114,119,90,143,125,154,154,114,137,127,3836
19:00:00,124,121,95,65,106,111,120,130,113,77,87,92,104,127,125,120,76,75,88,98,137,107,114,98,90,105,106,114,128,97,113,104,3150
20:00:00,95,58,73,50,85,75,106,115,80,66,76,70,90,77,88,84,76,59,55,81,76,100,88,65,44,71,79,78,93,90,83,78,2343
21:00:00,58,56,51,52,48,67,76,61,70,40,58,72,122,89,97,66,43,50,44,77,58,73,54,70,53,45,44,63,81,62,67,63,1900
22:00:00,48,45,46,32,40,34,71,65,65,61,53,43,110,91,102,67,57,35,33,49,66,38,68,54,35,39,46,56,50,40,58,54,1639
23:00:00,50,43,54,34,28,28,35,38,57,51,26,41,60,52,55,49,38,33,22,33,44,28,82,46,32,48,27,35,32,49,43,42,1250
