,2023-03-01,2023-03-02,2023-03-03,2023-03-04,2023-03-05,2023-03-06,2023-03-07,2023-03-08,2023-03-09,2023-03-10,2023-03-11,2023-03-12,2023-03-13,2023-03-14,2023-03-15,2023-03-16,2023-03-17,2023-03-18,2023-03-19,2023-03-20,2023-03-21,2023-03-22,2023-03-23,2023-03-24,2023-03-25,2023-03-26,2023-03-27,2023-03-28,2023-03-29,2023-03-30,2023-03-31,Workday,7 Day,Count
00:00:00,17,11,23,20,29,17,14,17,17,16,31,37,18,17,17,19,37,41,34,25,13,12,14,17,21,14,20,17,20,23,23,18,21,651
01:00:00,5,6,13,28,25,14,7,4,8,13,20,24,9,3,5,13,21,40,27,9,9,3,5,10,19,14,14,12,14,14,14,10,14,422
02:00:00,9,9,15,18,20,12,18,11,13,19,11,29,10,12,10,18,24,41,15,13,18,8,19,18,18,32,8,5,8,11,15,13,16,487
03:00:00,15,18,13,25,12,17,11,16,22,16,29,23,20,14,13,16,10,29,13,17,13,20,18,17,17,17,15,14,14,16,18,16,17,528
04:00:00,25,18,27,14,13,31,24,29,18,24,18,7,34,23,19,26,18,23,7,28,31,23,19,28,13,14,24,15,21,16,32,24,21,662
05:00:00,37,41,46,33,12,52,41,49,45,48,27,15,51,49,52,40,19,24,8,41,45,52,57,51,24,12,51,40,47,38,53,45,38,1200
06:00:00,135,121,112,42,15,119,130,123,125,107,47,22,127,140,128,107,50,52,35,113,135,143,143,123,64,17,108,113,119,115,105,119,96,3035
07:00:00,275,283,260,111,34,284,254,308,263,275,92,38,276,291,253,265,60,84,31,298,291,288,263,275,134,29,245,264,228,249,284,262,207,6585
08:00:00,298,269,283,120,59,319,281,235,258,261,118,60,274,271,273,273,68,91,33,290,266,279,267,317,160,38,245,235,238,253,306,263,212,6738
09:00:00,338,323,366,180,69,301,351,302,306,372,185,75,351,307,293,359,111,151,57,303,313,321,349,298,148,71,273,271,230,257,322,305,251,7953
10:00:00,309,286,316,160,113,281,320,273,304,297,144,90,270,327,315,305,82,153,77,298,318,317,324,334,202,77,226,247,240,256,285,284,239,7546
11:00:00,301,325,319,177,103,263,283,287,269,280,163,117,282,287,290,309,97,136,118,317,311,303,287,319,171,115,235,251,247,223,316,278,238,7501
12:00:00,281,304,338,180,121,245,278,303,266,299,160,129,294,296,238,309,90,167,103,271,298,287,293,279,180,117,234,243,247,232,330,272,236,7412
13:00:00,240,276,257,164,103,285,250,274,255,288,177,134,283,289,253,327,74,139,118,232,304,303,271,271,195,128,219,197,224,209,275,255,223,7014
14:00:00,280,284,353,180,107,289,253,313,312,301,170,117,304,283,276,312,75,121,126,292,284,296,304,326,169,110,198,236,225,236,271,274,235,7403
15:00:00,279,296,289,141,106,327,285,288,283,304,186,92,318,273,283,290,99,107,127,275,284,289,286,300,144,82,213,261,265,262,279,275,232,7313
16:00:00,275,301,260,130,82,286,261,268,267,237,122,104,263,215,289,227,97,118,103,266,245,279,208,239,108,80,205,243,236,268,249,247,207,6531
17:00:00,196,214,195,134,97,222,167,176,177,189,132,114,178,154,153,175,77,72,85,129,125,198,177,178,104,99,160,140,168,196,141,169,151,4722
18:00:00,144,147,133,104,82,127,177,146,137,126,106,101,153,154,148,151,67,69,91,142,138,154,169,156,85,90,115,126,149,156,135,141,127,3978
19:00:00,113,104,114,67,66,109,130,119,121,99,90,68,89,111,95,123,75,78,79,95,113,116,117,116,90,65,87,104,98,123,106,108,98,3080
20:00:00,70,100,94,70,44,85,93,92,92,82,58,54,64,73,86,71,38,63,62,69,70,79,103,69,68,77,56,76,80,109,102,81,75,2349
21:00:00,48,54,84,30,32,59,65,55,51,52,44,41,48,62,65,69,31,48,49,66,45,55,58,57,40,54,48,61,59,69,81,58,54,1680
22:00:00,43,42,45,24,21,40,35,41,51,33,39,21,26,31,40,56,45,34,21,29,25,32,35,35,36,49,27,35,30,40,54,38,36,1115
23:00:00,36,24,32,23,16,24,17,30,26,43,37,23,20,40,33,39,33,29,17,24,20,31,32,30,31,38,24,23,16,30,24,28,28,865
