,2024-05-01,2024-05-02,2024-05-03,2024-05-04,2024-05-05,2024-05-06,2024-05-07,2024-05-08,2024-05-09,2024-05-10,2024-05-11,2024-05-12,2024-05-13,2024-05-14,2024-05-15,2024-05-16,2024-05-17,2024-05-18,2024-05-19,2024-05-20,2024-05-21,2024-05-22,2024-05-23,2024-05-24,2024-05-25,2024-05-26,2024-05-27,2024-05-28,2024-05-29,2024-05-30,2024-05-31,Workday,7 Day,Count
00:00:00,34,13,21,37,29,32,18,40,31,48,43,38,15,39,28,40,63,43,44,13,41,36,11,34,47,33,25,19,40,15,30,30,33,1000
01:00:00,25,13,21,17,33,29,5,14,31,30,33,52,15,22,24,32,34,26,28,15,24,9,16,24,29,26,10,9,26,17,15,20,23,704
02:00:00,30,15,20,31,27,33,7,31,32,42,33,33,18,21,23,26,28,22,24,14,26,13,9,24,35,24,13,9,28,11,26,22,24,728
03:00:00,28,22,17,27,27,22,13,37,27,41,34,37,22,25,32,23,25,28,23,22,25,18,18,29,33,14,25,17,28,19,11,24,25,769
04:00:00,26,22,21,28,20,28,30,29,25,30,54,19,27,29,28,27,40,31,25,30,22,26,36,44,28,22,25,24,33,25,37,29,29,891
05:00:00,63,61,69,50,20,19,55,40,55,50,34,20,60,62,56,53,39,29,17,48,53,63,68,61,29,15,48,50,61,51,57,54,46,1456
06:00:00,152,149,124,57,23,29,120,103,117,135,66,25,124,137,141,123,113,61,24,134,119,155,165,136,45,22,116,128,142,134,107,126,102,3226
07:00:00,277,323,283,84,49,47,306,294,301,282,94,53,248,289,313,285,291,89,42,292,317,311,335,349,118,37,288,299,332,324,297,291,228,7249
08:00:00,274,292,294,137,62,72,283,261,277,307,163,57,259,240,273,247,337,124,44,283,269,283,306,291,155,48,259,289,302,259,306,272,223,7053
09:00:00,308,330,366,190,80,89,295,298,312,320,198,68,319,322,331,326,342,195,84,343,339,318,338,358,173,88,320,342,360,337,302,318,266,8391
10:00:00,303,275,296,172,74,87,286,270,299,335,186,102,287,294,315,284,320,183,93,311,300,312,296,325,169,128,305,281,305,301,277,290,246,7771
11:00:00,294,332,334,181,105,101,320,293,278,330,205,104,304,292,291,313,340,192,97,293,315,284,321,309,213,142,298,276,317,299,296,297,256,8069
12:00:00,338,269,253,183,100,124,271,291,305,342,193,119,312,313,282,308,292,183,111,261,271,283,287,314,202,130,258,288,289,302,306,285,247,7780
13:00:00,247,249,241,155,119,99,272,280,298,277,205,123,270,266,283,269,317,160,111,255,286,275,268,261,171,134,262,288,289,289,300,267,233,7319
14:00:00,287,320,285,139,101,137,277,293,257,306,150,105,292,300,294,295,289,165,85,298,271,335,326,282,190,111,311,328,300,286,287,289,244,7702
15:00:00,275,317,298,121,113,119,310,319,303,281,132,130,274,303,306,278,280,145,95,261,285,285,282,296,164,117,268,315,317,320,278,286,240,7587
16:00:00,277,241,263,125,91,119,274,284,267,214,155,117,284,265,274,248,241,145,85,276,287,282,295,222,94,126,280,298,293,288,234,261,220,6944
17:00:00,218,166,171,119,86,106,216,200,218,209,142,114,207,189,214,175,179,106,102,204,196,196,185,180,133,108,223,197,229,222,179,195,172,5389
18:00:00,137,168,114,114,84,104,150,199,175,142,113,94,118,161,185,146,124,94,103,131,150,159,161,153,119,123,156,185,157,187,157,153,139,4363
19:00:00,119,142,121,86,90,76,105,100,139,137,90,88,118,125,136,124,102,90,84,110,107,134,137,132,101,86,103,120,137,133,150,122,113,3522
20:00:00,102,82,85,57,55,66,103,88,108,95,90,63,97,89,109,82,70,80,58,81,78,85,87,77,79,86,91,83,89,93,89,88,83,2597
21:00:00,75,81,68,62,56,47,116,130,140,63,150,54,129,127,120,73,68,49,67,103,90,84,66,84,43,44,56,102,77,68,72,89,82,2564
22:00:00,46,35,40,55,42,37,75,78,94,38,82,38,66,70,96,94,47,32,31,86,44,50,50,72,60,37,31,78,36,44,79,60,57,1763
23:00:00,44,27,37,37,48,34,42,59,86,49,48,29,59,51,61,118,45,33,40,60,23,26,42,62,62,26,33,51,34,42,54,50,47,1462
