,2023-11-01,2023-11-02,2023-11-03,2023-11-04,2023-11-05,2023-11-06,2023-11-07,2023-11-08,2023-11-09,2023-11-10,2023-11-11,2023-11-12,2023-11-13,2023-11-14,2023-11-15,2023-11-16,2023-11-17,2023-11-18,2023-11-19,2023-11-20,2023-11-21,2023-11-22,2023-11-23,2023-11-24,2023-11-25,2023-11-26,2023-11-27,2023-11-28,2023-11-29,2023-11-30,Workday,7 Day,Count
00:00:00,40,20,26,21,17,9,15,12,12,22,34,22,26,13,14,16,30,33,46,17,13,19,14,21,40,52,14,24,28,26,20,23,696
01:00:00,34,22,35,7,35,5,10,10,13,9,29,24,8,16,17,8,10,24,31,9,10,9,11,19,22,52,9,16,22,18,15,18,544
02:00:00,31,29,36,26,35,12,14,10,22,12,28,29,11,12,23,15,10,23,15,9,4,5,10,16,22,27,7,22,25,28,16,19,568
03:00:00,33,20,44,30,27,15,13,22,11,20,21,26,17,32,35,22,31,26,16,16,15,16,22,20,22,27,24,35,30,31,24,24,719
04:00:00,34,36,28,23,22,33,26,23,25,25,25,24,36,22,37,28,43,30,27,24,26,26,29,27,24,17,20,30,19,22,28,27,811
05:00:00,54,41,45,26,16,38,49,54,48,61,24,18,41,43,64,50,70,33,10,39,45,49,49,46,33,16,42,43,41,40,48,40,1228
06:00:00,125,122,109,39,28,95,113,121,131,137,48,23,105,120,143,131,131,43,17,129,123,113,120,135,54,29,104,123,140,139,123,98,2990
07:00:00,240,281,269,114,36,283,294,297,303,322,116,48,265,280,319,301,296,105,33,314,300,270,279,287,95,48,268,285,305,302,289,228,6955
08:00:00,323,301,290,147,52,309,266,311,269,357,124,48,276,252,267,284,319,130,52,270,294,272,291,274,143,53,276,304,276,290,290,234,7120
09:00:00,291,310,316,165,71,328,287,363,349,350,182,66,306,330,301,335,370,187,71,317,344,336,355,355,202,62,327,293,295,300,325,268,8164
10:00:00,250,297,323,176,96,307,345,344,299,300,204,76,279,288,322,305,315,187,114,315,318,315,300,298,213,106,293,331,332,298,308,262,7946
11:00:00,249,288,309,179,113,307,311,307,314,314,175,120,303,313,352,322,331,203,133,302,291,298,289,309,183,92,284,318,314,317,306,262,7940
12:00:00,254,293,332,185,121,291,274,255,314,312,189,143,322,290,311,271,319,168,122,282,300,292,329,292,175,132,265,286,288,322,295,255,7729
13:00:00,263,268,229,167,131,260,224,289,287,258,174,135,245,238,313,284,273,202,134,253,257,267,266,284,172,148,255,261,242,270,263,233,7049
14:00:00,277,259,279,178,129,297,279,297,314,298,155,134,285,296,294,285,250,144,143,302,285,326,303,285,164,138,300,277,291,278,289,249,7542
15:00:00,283,299,285,118,145,287,296,319,303,311,158,124,296,311,306,282,235,166,113,308,280,312,293,271,134,120,307,297,317,288,295,249,7564
16:00:00,243,254,221,94,117,282,302,272,301,228,155,119,291,276,286,229,220,144,112,239,167,259,252,246,179,121,265,289,298,267,258,222,6728
17:00:00,179,192,156,129,130,199,183,218,213,180,125,140,211,203,205,211,156,133,119,221,111,196,215,221,133,112,192,207,201,209,194,175,5300
18:00:00,147,135,136,112,74,131,141,148,136,137,113,107,135,156,137,157,138,105,112,132,143,160,137,147,107,90,150,152,152,200,146,133,4027
19:00:00,71,123,83,81,83,107,116,112,119,128,93,83,110,138,127,142,118,88,79,125,118,155,133,128,124,72,117,128,116,149,121,112,3366
20:00:00,70,106,111,60,59,86,95,85,82,93,71,61,70,74,96,111,92,77,54,83,86,96,97,98,63,60,92,93,91,89,91,83,2501
21:00:00,95,110,58,62,41,56,65,61,50,71,38,35,81,67,77,85,43,56,44,55,69,58,62,66,54,42,108,106,117,67,74,66,1999
22:00:00,67,111,57,58,34,31,34,37,37,48,42,29,57,58,50,59,60,38,30,40,41,34,40,56,44,30,71,66,75,58,54,49,1492
23:00:00,45,61,34,31,21,22,27,29,32,32,39,21,45,39,24,28,41,33,20,27,23,25,41,40,37,14,57,37,41,35,36,33,1001
