,2023-10-01,2023-10-02,2023-10-03,2023-10-04,2023-10-05,2023-10-06,2023-10-07,2023-10-08,2023-10-09,2023-10-10,2023-10-11,2023-10-12,2023-10-13,2023-10-14,2023-10-15,2023-10-16,2023-10-17,2023-10-18,2023-10-19,2023-10-20,2023-10-21,2023-10-22,2023-10-23,2023-10-24,2023-10-25,2023-10-26,2023-10-27,2023-10-28,2023-10-29,2023-10-30,2023-10-31,Workday,7 Day,Count
00:00:00,33,21,30,10,28,22,35,34,16,28,26,36,32,30,44,14,18,13,15,15,27,30,18,22,15,9,43,46,46,49,9,22,26,814
01:00:00,35,10,6,12,10,23,27,33,9,17,18,24,19,29,35,9,11,13,8,18,27,32,9,11,9,8,29,46,88,54,13,15,22,692
02:00:00,17,12,13,14,9,13,25,32,9,11,30,39,21,27,26,15,10,10,16,26,20,31,5,12,6,7,18,43,44,38,14,16,20,613
03:00:00,24,18,22,14,20,25,27,18,16,15,28,33,38,31,29,17,19,20,10,22,30,28,19,15,19,15,26,39,25,45,15,21,23,722
04:00:00,15,23,14,34,17,30,22,31,23,19,20,30,27,28,18,28,14,18,25,22,23,13,17,23,25,31,28,20,23,23,25,23,23,709
05:00:00,14,48,42,50,45,46,33,16,57,48,53,50,52,44,13,46,55,59,42,57,40,14,47,50,47,42,58,42,23,16,40,48,42,1289
06:00:00,17,96,116,123,137,125,44,17,113,124,127,150,118,49,13,118,111,118,139,131,55,21,99,117,122,140,96,45,19,27,101,116,92,2828
07:00:00,24,262,296,276,323,313,88,36,254,299,282,298,291,110,45,275,250,259,287,265,88,31,252,277,293,273,287,93,35,45,267,269,210,6474
08:00:00,48,251,296,277,248,298,117,56,328,271,218,294,259,130,47,309,291,222,290,309,144,55,246,290,261,273,288,130,44,46,266,265,214,6602
09:00:00,77,324,322,311,356,344,165,86,346,336,258,360,369,184,77,366,316,211,358,303,192,67,286,312,343,305,308,153,71,88,296,310,255,7890
10:00:00,99,289,326,310,337,328,202,91,292,314,305,338,329,193,82,276,277,224,329,300,222,97,282,343,311,321,323,187,93,97,313,298,253,7830
11:00:00,113,282,315,316,311,319,193,104,293,280,296,300,288,197,102,293,299,272,292,330,191,124,285,294,289,339,319,198,148,117,316,293,253,7815
12:00:00,137,306,297,294,265,318,187,113,265,262,329,274,341,217,103,284,291,260,297,337,155,148,288,282,349,303,313,182,154,131,294,290,251,7776
13:00:00,114,259,294,277,291,304,177,108,257,260,266,241,305,188,133,257,254,239,287,279,171,135,251,271,280,264,271,168,138,144,245,263,230,7128
14:00:00,112,287,305,307,304,294,147,107,272,274,306,285,269,158,125,309,265,257,308,289,184,114,305,254,344,306,270,185,182,127,302,284,244,7553
15:00:00,128,328,297,321,321,282,155,107,275,284,301,309,290,150,125,294,275,240,340,308,177,123,282,250,324,325,283,163,160,125,293,288,247,7635
16:00:00,100,293,280,287,296,230,125,127,290,269,265,290,235,149,115,270,256,222,300,232,146,141,257,245,272,266,275,156,169,134,263,260,225,6955
17:00:00,93,236,234,207,215,162,116,128,201,203,185,214,184,135,152,208,184,174,214,190,144,135,194,196,183,178,167,134,122,98,180,191,173,5366
18:00:00,84,138,160,191,146,150,124,94,136,157,156,171,118,127,112,137,141,127,165,145,119,101,152,184,176,161,151,141,116,87,111,148,138,4278
19:00:00,79,115,142,130,113,121,107,85,119,122,126,175,126,61,83,113,110,106,151,136,110,78,125,123,129,129,140,116,82,57,83,122,113,3492
20:00:00,59,65,94,102,101,86,54,57,75,86,92,86,89,49,52,70,75,72,104,93,73,48,89,73,84,121,99,83,70,42,82,85,78,2425
21:00:00,53,62,76,56,49,68,48,52,61,110,94,49,68,28,40,48,60,49,67,62,49,39,59,50,58,51,66,70,49,47,78,63,59,1816
22:00:00,40,32,37,44,44,52,42,48,32,72,82,72,65,65,35,35,23,41,49,56,50,35,49,31,40,43,60,48,52,26,76,48,48,1476
23:00:00,31,29,22,35,29,32,44,38,22,39,48,37,50,49,24,23,19,31,20,34,47,23,21,27,32,42,56,53,46,19,47,32,34,1069
