,2024-09-01,2024-09-02,2024-09-03,2024-09-04,2024-09-05,2024-09-06,2024-09-07,2024-09-08,2024-09-09,2024-09-10,2024-09-11,2024-09-12,2024-09-13,2024-09-14,2024-09-15,2024-09-16,2024-09-17,2024-09-18,2024-09-19,2024-09-20,2024-09-21,2024-09-22,2024-09-23,2024-09-24,2024-09-25,2024-09-26,2024-09-27,2024-09-28,2024-09-29,2024-09-30,Workday,7 Day,Count
00:00:00,44,21,12,28,15,29,43,51,22,48,49,35,64,38,50,26,49,48,38,59,38,44,24,35,35,19,37,40,36,15,34,36,1092
01:00:00,38,16,10,11,15,14,40,30,16,22,32,32,32,27,30,10,30,25,26,46,33,45,13,21,26,14,21,27,33,15,21,25,750
02:00:00,37,20,15,7,15,18,16,35,24,28,43,29,55,28,15,9,18,31,33,38,21,26,13,16,26,11,20,30,27,14,23,24,718
03:00:00,45,27,28,19,26,23,41,37,27,36,36,51,42,32,34,26,29,34,24,39,40,23,20,20,30,27,34,29,17,22,30,31,918
04:00:00,30,34,39,20,36,34,48,18,34,26,20,25,44,40,26,27,24,29,30,51,30,16,31,20,31,35,35,27,34,38,32,31,932
05:00:00,14,49,58,45,57,62,32,15,53,56,56,61,53,33,15,34,52,50,62,63,29,20,38,52,53,47,61,19,24,47,53,44,1310
06:00:00,31,119,120,149,133,137,38,34,122,120,136,132,146,43,25,125,137,144,148,124,60,21,119,147,149,135,117,66,27,128,133,106,3132
07:00:00,37,261,283,291,317,297,114,59,287,284,288,305,290,102,49,276,310,310,328,295,98,40,293,292,300,286,311,112,41,274,294,231,6830
08:00:00,60,292,279,322,286,237,157,57,295,317,290,278,299,142,60,286,269,303,302,290,150,50,334,268,245,285,267,167,50,305,288,234,6942
09:00:00,82,339,342,367,298,322,176,79,315,363,333,340,311,169,84,362,305,346,319,333,184,92,335,362,338,321,355,190,57,339,335,275,8158
10:00:00,98,325,304,332,320,312,196,97,299,326,314,304,303,173,93,291,313,299,322,289,189,95,310,324,305,276,301,198,75,331,310,260,7714
11:00:00,98,332,314,343,307,305,197,128,291,269,309,340,326,182,98,305,331,298,287,331,204,132,311,276,292,284,295,201,83,291,307,261,7760
12:00:00,122,269,281,298,321,291,197,113,294,281,249,316,294,176,137,264,274,286,301,308,195,107,275,282,316,307,267,163,105,287,289,248,7376
13:00:00,126,287,266,291,282,274,185,136,254,219,236,275,240,168,125,252,278,257,276,234,162,102,265,258,324,279,272,160,119,273,266,231,6875
14:00:00,142,278,294,326,295,311,149,115,278,319,328,326,284,187,127,243,301,310,309,304,177,128,271,287,338,300,265,166,111,313,299,255,7582
15:00:00,123,282,296,291,293,280,123,105,311,292,304,292,299,142,120,298,288,304,301,278,141,128,314,308,292,320,239,142,79,302,294,245,7287
16:00:00,100,265,261,291,253,239,139,103,249,286,296,239,248,140,108,249,271,271,241,227,158,117,279,227,290,284,134,154,100,254,255,218,6473
17:00:00,105,216,213,182,195,193,115,105,208,227,197,212,169,137,125,194,208,213,218,164,132,98,200,231,224,213,165,140,84,237,204,179,5320
18:00:00,100,152,136,139,147,156,98,106,163,156,147,155,126,106,91,144,139,153,158,156,92,134,135,146,151,148,124,112,88,127,146,133,3985
19:00:00,78,115,89,136,160,122,96,76,98,123,149,141,143,94,78,124,120,122,147,134,90,88,126,133,135,113,130,114,51,117,127,115,3442
20:00:00,67,92,101,96,90,103,83,56,96,88,80,98,91,80,59,85,98,92,97,117,85,74,89,54,94,82,100,73,59,102,93,86,2581
21:00:00,63,61,61,65,72,86,55,39,105,105,121,118,75,61,30,113,112,113,165,77,63,54,77,122,50,58,80,78,39,88,92,81,2406
22:00:00,23,40,39,46,41,101,43,24,66,87,76,107,59,39,26,79,75,98,103,41,44,38,51,69,53,40,49,53,39,64,66,58,1713
23:00:00,23,29,23,21,25,50,32,38,66,58,55,70,54,32,24,57,45,50,77,32,40,30,68,63,40,36,48,50,19,35,48,43,1290
