,datetime,personal,heavy_goods
0,2023-01-01 00:00:00+00:00,384.0,27.0
1,2023-01-01 01:00:00+00:00,415.0,26.0
2,2023-01-01 02:00:00+00:00,270.0,20.0
3,2023-01-01 03:00:00+00:00,217.0,16.0
4,2023-01-01 04:00:00+00:00,105.0,4.0
5,2023-01-01 05:00:00+00:00,77.0,9.0
6,2023-01-01 06:00:00+00:00,144.0,7.0
7,2023-01-01 07:00:00+00:00,277.0,12.0
8,2023-01-01 08:00:00+00:00,209.0,17.0
9,2023-01-01 09:00:00+00:00,320.0,26.0
10,2023-01-01 10:00:00+00:00,518.0,48.0
11,2023-01-01 11:00:00+00:00,804.0,52.0
12,2023-01-01 12:00:00+00:00,1176.0,74.0
13,2023-01-01 13:00:00+00:00,1430.0,85.0
14,2023-01-01 14:00:00+00:00,1541.0,78.0
15,2023-01-01 15:00:00+00:00,1396.0,93.0
16,2023-01-01 16:00:00+00:00,1372.0,76.0
17,2023-01-01 17:00:00+00:00,1224.0,74.0
18,2023-01-01 18:00:00+00:00,991.0,69.0
19,2023-01-01 19:00:00+00:00,851.0,50.0
20,2023-01-01 20:00:00+00:00,580.0,35.0
21,2023-01-01 21:00:00+00:00,439.0,21.0
22,2023-01-01 22:00:00+00:00,312.0,12.0
23,2023-01-01 23:00:00+00:00,193.0,20.0
24,2023-01-02 00:00:00+00:00,194.0,10.0
25,2023-01-02 01:00:00+00:00,110.0,12.0
26,2023-01-02 02:00:00+00:00,87.0,7.0
27,2023-01-02 03:00:00+00:00,75.0,16.0
28,2023-01-02 04:00:00+00:00,54.0,31.0
29,2023-01-02 05:00:00+00:00,98.0,31.0
30,2023-01-02 06:00:00+00:00,233.0,29.0
31,2023-01-02 07:00:00+00:00,362.0,38.0
32,2023-01-02 08:00:00+00:00,313.0,63.0
33,2023-01-02 09:00:00+00:00,509.0,57.0
34,2023-01-02 10:00:00+00:00,822.0,73.0
35,2023-01-02 11:00:00+00:00,1223.0,94.0
36,2023-01-02 12:00:00+00:00,1651.0,136.0
37,2023-01-02 13:00:00+00:00,1899.0,117.0
38,2023-01-02 14:00:00+00:00,1952.0,132.0
39,2023-01-02 15:00:00+00:00,1894.0,140.0
40,2023-01-02 16:00:00+00:00,1886.0,113.0
41,2023-01-02 17:00:00+00:00,1644.0,113.0
42,2023-01-02 18:00:00+00:00,1305.0,61.0
43,2023-01-02 19:00:00+00:00,1046.0,55.0
44,2023-01-02 20:00:00+00:00,731.0,47.0
45,2023-01-02 21:00:00+00:00,558.0,46.0
46,2023-01-02 22:00:00+00:00,347.0,23.0
47,2023-01-02 23:00:00+00:00,187.0,21.0
48,2023-01-03 00:00:00+00:00,127.0,16.0
49,2023-01-03 01:00:00+00:00,81.0,16.0
