,datetime,personal,heavy_goods
0,2023-01-01 00:00:00+00:00,176,7
1,2023-01-01 01:00:00+00:00,214,13
2,2023-01-01 02:00:00+00:00,114,14
3,2023-01-01 03:00:00+00:00,84,3
4,2023-01-01 04:00:00+00:00,45,10
5,2023-01-01 05:00:00+00:00,46,4
6,2023-01-01 06:00:00+00:00,82,2
7,2023-01-01 07:00:00+00:00,152,7
8,2023-01-01 08:00:00+00:00,154,16
9,2023-01-01 09:00:00+00:00,216,19
10,2023-01-01 10:00:00+00:00,358,15
11,2023-01-01 11:00:00+00:00,573,37
12,2023-01-01 12:00:00+00:00,840,52
13,2023-01-01 13:00:00+00:00,1062,42
14,2023-01-01 14:00:00+00:00,1082,43
15,2023-01-01 15:00:00+00:00,1014,40
16,2023-01-01 16:00:00+00:00,1054,40
17,2023-01-01 17:00:00+00:00,889,43
18,2023-01-01 18:00:00+00:00,778,25
19,2023-01-01 19:00:00+00:00,612,41
20,2023-01-01 20:00:00+00:00,448,19
21,2023-01-01 21:00:00+00:00,331,16
22,2023-01-01 22:00:00+00:00,256,16
23,2023-01-01 23:00:00+00:00,160,15
24,2023-01-02 00:00:00+00:00,114,4
25,2023-01-02 01:00:00+00:00,71,7
26,2023-01-02 02:00:00+00:00,55,8
27,2023-01-02 03:00:00+00:00,28,13
28,2023-01-02 04:00:00+00:00,39,15
29,2023-01-02 05:00:00+00:00,70,21
30,2023-01-02 06:00:00+00:00,146,20
31,2023-01-02 07:00:00+00:00,221,29
32,2023-01-02 08:00:00+00:00,218,34
33,2023-01-02 09:00:00+00:00,349,34
34,2023-01-02 10:00:00+00:00,673,60
35,2023-01-02 11:00:00+00:00,879,100
36,2023-01-02 12:00:00+00:00,1123,92
37,2023-01-02 13:00:00+00:00,1381,77
38,2023-01-02 14:00:00+00:00,1424,94
39,2023-01-02 15:00:00+00:00,1385,67
40,2023-01-02 16:00:00+00:00,1362,78
41,2023-01-02 17:00:00+00:00,1175,72
42,2023-01-02 18:00:00+00:00,891,54
43,2023-01-02 19:00:00+00:00,771,41
44,2023-01-02 20:00:00+00:00,504,39
45,2023-01-02 21:00:00+00:00,365,23
46,2023-01-02 22:00:00+00:00,232,18
47,2023-01-02 23:00:00+00:00,125,18
48,2023-01-03 00:00:00+00:00,75,10
49,2023-01-03 01:00:00+00:00,60,9
50,2023-01-03 02:00:00+00:00,31,13
51,2023-01-03 03:00:00+00:00,45,22
52,2023-01-03 04:00:00+00:00,64,30
53,2023-01-03 05:00:00+00:00,201,83
54,2023-01-03 06:00:00+00:00,631,150
55,2023-01-03 07:00:00+00:00,1130,222
56,2023-01-03 08:00:00+00:00,1131,233
57,2023-01-03 09:00:00+00:00,755,221
58,2023-01-03 10:00:00+00:00,798,237
59,2023-01-03 11:00:00+00:00,946,198
60,2023-01-03 12:00:00+00:00,1089,195
61,2023-01-03 13:00:00+00:00,1147,208
62,2023-01-03 14:00:00+00:00,1213,205
63,2023-01-03 15:00:00+00:00,1197,231
64,2023-01-03 16:00:00+00:00,1563,234
65,2023-01-03 17:00:00+00:00,1551,221
66,2023-01-03 18:00:00+00:00,1174,108
67,2023-01-03 19:00:00+00:00,740,82
68,2023-01-03 20:00:00+00:00,473,50
69,2023-01-03 21:00:00+00:00,353,29
70,2023-01-03 22:00:00+00:00,226,29
71,2023-01-03 23:00:00+00:00,150,17
72,2023-01-04 00:00:00+00:00,62,14
73,2023-01-04 01:00:00+00:00,38,7
74,2023-01-04 02:00:00+00:00,49,19
75,2023-01-04 03:00:00+00:00,34,23
76,2023-01-04 04:00:00+00:00,54,41
77,2023-01-04 05:00:00+00:00,205,92
78,2023-01-04 06:00:00+00:00,609,161
79,2023-01-04 07:00:00+00:00,1194,278
80,2023-01-04 08:00:00+00:00,1184,298
81,2023-01-04 09:00:00+00:00,813,298
82,2023-01-04 10:00:00+00:00,885,220
83,2023-01-04 11:00:00+00:00,890,217
84,2023-01-04 12:00:00+00:00,1042,242
85,2023-01-04 13:00:00+00:00,1156,223
86,2023-01-04 14:00:00+00:00,1279,225
87,2023-01-04 15:00:00+00:00,1255,265
88,2023-01-04 16:00:00+00:00,1617,259
89,2023-01-04 17:00:00+00:00,1782,227
90,2023-01-04 18:00:00+00:00,1267,147
91,2023-01-04 19:00:00+00:00,814,76
92,2023-01-04 20:00:00+00:00,553,49
93,2023-01-04 21:00:00+00:00,438,43
94,2023-01-04 22:00:00+00:00,234,23
95,2023-01-04 23:00:00+00:00,148,18
96,2023-01-05 00:00:00+00:00,94,14
97,2023-01-05 01:00:00+00:00,42,17
98,2023-01-05 02:00:00+00:00,45,17
99,2023-01-05 03:00:00+00:00,34,32
100,2023-01-05 04:00:00+00:00,73,42
101,2023-01-05 05:00:00+00:00,176,85
102,2023-01-05 06:00:00+00:00,632,179
103,2023-01-05 07:00:00+00:00,1418,305
104,2023-01-05 08:00:00+00:00,1699,310
105,2023-01-05 09:00:00+00:00,1028,324
106,2023-01-05 10:00:00+00:00,825,248
107,2023-01-05 11:00:00+00:00,854,227
108,2023-01-05 12:00:00+00:00,940,226
109,2023-01-05 13:00:00+00:00,1026,238
110,2023-01-05 14:00:00+00:00,1026,241
111,2023-01-05 15:00:00+00:00,1366,304
112,2023-01-05 16:00:00+00:00,1544,272
113,2023-01-05 17:00:00+00:00,1670,207
114,2023-01-05 18:00:00+00:00,1113,134
115,2023-01-05 19:00:00+00:00,768,90
116,2023-01-05 20:00:00+00:00,511,65
117,2023-01-05 21:00:00+00:00,393,43
118,2023-01-05 22:00:00+00:00,238,27
119,2023-01-05 23:00:00+00:00,156,23
120,2023-01-06 00:00:00+00:00,91,18
121,2023-01-06 01:00:00+00:00,42,10
122,2023-01-06 02:00:00+00:00,59,20
123,2023-01-06 03:00:00+00:00,36,18
124,2023-01-06 04:00:00+00:00,60,50
125,2023-01-06 05:00:00+00:00,185,88
126,2023-01-06 06:00:00+00:00,568,191
127,2023-01-06 07:00:00+00:00,1308,301
128,2023-01-06 08:00:00+00:00,1611,346
129,2023-01-06 09:00:00+00:00,1013,286
130,2023-01-06 10:00:00+00:00,933,258
131,2023-01-06 11:00:00+00:00,950,262
132,2023-01-06 12:00:00+00:00,1091,250
133,2023-01-06 13:00:00+00:00,1145,265
134,2023-01-06 14:00:00+00:00,1317,280
135,2023-01-06 15:00:00+00:00,1676,293
136,2023-01-06 16:00:00+00:00,1703,264
137,2023-01-06 17:00:00+00:00,1597,151
138,2023-01-06 18:00:00+00:00,1332,107
139,2023-01-06 19:00:00+00:00,891,77
140,2023-01-06 20:00:00+00:00,605,60
141,2023-01-06 21:00:00+00:00,552,47
142,2023-01-06 22:00:00+00:00,376,43
143,2023-01-06 23:00:00+00:00,264,35
144,2023-01-07 00:00:00+00:00,163,27
145,2023-01-07 01:00:00+00:00,122,17
146,2023-01-07 02:00:00+00:00,78,15
147,2023-01-07 03:00:00+00:00,77,23
148,2023-01-07 04:00:00+00:00,63,23
149,2023-01-07 05:00:00+00:00,114,38
150,2023-01-07 06:00:00+00:00,160,45
151,2023-01-07 07:00:00+00:00,318,81
152,2023-01-07 08:00:00+00:00,538,99
153,2023-01-07 09:00:00+00:00,723,126
154,2023-01-07 10:00:00+00:00,907,118
155,2023-01-07 11:00:00+00:00,1217,133
156,2023-01-07 12:00:00+00:00,1424,125
157,2023-01-07 13:00:00+00:00,1467,117
158,2023-01-07 14:00:00+00:00,1423,102
159,2023-01-07 15:00:00+00:00,1368,113
160,2023-01-07 16:00:00+00:00,1412,105
161,2023-01-07 17:00:00+00:00,1293,103
162,2023-01-07 18:00:00+00:00,1074,59
163,2023-01-07 19:00:00+00:00,828,60
164,2023-01-07 20:00:00+00:00,557,44
165,2023-01-07 21:00:00+00:00,365,28
166,2023-01-07 22:00:00+00:00,319,23
167,2023-01-07 23:00:00+00:00,223,17
168,2023-01-08 00:00:00+00:00,148,19
169,2023-01-08 01:00:00+00:00,112,8
170,2023-01-08 02:00:00+00:00,58,9
171,2023-01-08 03:00:00+00:00,54,6
172,2023-01-08 04:00:00+00:00,45,5
173,2023-01-08 05:00:00+00:00,90,11
174,2023-01-08 06:00:00+00:00,101,17
175,2023-01-08 07:00:00+00:00,219,14
176,2023-01-08 08:00:00+00:00,286,27
177,2023-01-08 09:00:00+00:00,565,30
178,2023-01-08 10:00:00+00:00,673,35
179,2023-01-08 11:00:00+00:00,904,69
180,2023-01-08 12:00:00+00:00,1246,48
181,2023-01-08 13:00:00+00:00,1405,69
182,2023-01-08 14:00:00+00:00,1356,67
183,2023-01-08 15:00:00+00:00,1405,75
184,2023-01-08 16:00:00+00:00,1401,75
185,2023-01-08 17:00:00+00:00,1125,60
186,2023-01-08 18:00:00+00:00,1009,66
187,2023-01-08 19:00:00+00:00,665,52
188,2023-01-08 20:00:00+00:00,511,39
189,2023-01-08 21:00:00+00:00,338,32
190,2023-01-08 22:00:00+00:00,256,10
191,2023-01-08 23:00:00+00:00,135,17
192,2023-01-09 00:00:00+00:00,80,8
193,2023-01-09 01:00:00+00:00,27,8
194,2023-01-09 02:00:00+00:00,36,18
195,2023-01-09 03:00:00+00:00,42,17
196,2023-01-09 04:00:00+00:00,66,42
197,2023-01-09 05:00:00+00:00,194,86
198,2023-01-09 06:00:00+00:00,728,197
199,2023-01-09 07:00:00+00:00,1516,324
200,2023-01-09 08:00:00+00:00,1856,344
201,2023-01-09 09:00:00+00:00,1059,308
202,2023-01-09 10:00:00+00:00,867,250
203,2023-01-09 11:00:00+00:00,822,228
204,2023-01-09 12:00:00+00:00,912,219
205,2023-01-09 13:00:00+00:00,971,240
206,2023-01-09 14:00:00+00:00,1049,243
207,2023-01-09 15:00:00+00:00,1354,293
208,2023-01-09 16:00:00+00:00,1600,347
209,2023-01-09 17:00:00+00:00,1680,222
210,2023-01-09 18:00:00+00:00,1131,109
211,2023-01-09 19:00:00+00:00,800,71
212,2023-01-09 20:00:00+00:00,495,48
213,2023-01-09 21:00:00+00:00,327,36
214,2023-01-09 22:00:00+00:00,238,23
215,2023-01-09 23:00:00+00:00,138,15
216,2023-01-10 00:00:00+00:00,96,14
217,2023-01-10 01:00:00+00:00,38,9
218,2023-01-10 02:00:00+00:00,39,16
219,2023-01-10 03:00:00+00:00,43,27
220,2023-01-10 04:00:00+00:00,68,41
221,2023-01-10 05:00:00+00:00,212,87
222,2023-01-10 06:00:00+00:00,691,197
223,2023-01-10 07:00:00+00:00,1605,319
224,2023-01-10 08:00:00+00:00,1813,337
225,2023-01-10 09:00:00+00:00,1148,334
226,2023-01-10 10:00:00+00:00,855,254
