date,School Break
01-01-2023,Christmas 2022 break
02-01-2023,Christmas 2022 break
03-01-2023,Christmas 2022 break
04-01-2023,Christmas 2022 break
13-02-2023,February 2023 break
14-02-2023,February 2023 break
15-02-2023,February 2023 break
16-02-2023,February 2023 break
17-02-2023,February 2023 break
01-04-2023,Easter 2023 Recess
02-04-2023,Easter 2023 Recess
03-04-2023,Easter 2023 Recess
04-04-2023,Easter 2023 Recess
05-04-2023,Easter 2023 Recess
06-04-2023,Easter 2023 Recess
07-04-2023,Easter 2023 Recess
08-04-2023,Easter 2023 Recess
09-04-2023,Easter 2023 Recess
10-04-2023,Easter 2023 Recess
11-04-2023,Easter 2023 Recess
12-04-2023,Easter 2023 Recess
13-04-2023,Easter 2023 Recess
14-04-2023,Easter 2023 Recess
15-04-2023,Easter 2023 Recess
16-04-2023,Easter 2023 Recess
01-07-2023,Summer Break
02-07-2023,Summer Break
03-07-2023,Summer Break
04-07-2023,Summer Break
05-07-2023,Summer Break
06-07-2023,Summer Break
07-07-2023,Summer Break
08-07-2023,Summer Break
09-07-2023,Summer Break
10-07-2023,Summer Break
11-07-2023,Summer Break
12-07-2023,Summer Break
13-07-2023,Summer Break
14-07-2023,Summer Break
15-07-2023,Summer Break
16-07-2023,Summer Break
17-07-2023,Summer Break
18-07-2023,Summer Break
19-07-2023,Summer Break
20-07-2023,Summer Break
21-07-2023,Summer Break
22-07-2023,Summer Break
23-07-2023,Summer Break
24-07-2023,Summer Break
25-07-2023,Summer Break
26-07-2023,Summer Break
27-07-2023,Summer Break
28-07-2023,Summer Break
29-07-2023,Summer Break
30-07-2023,Summer Break
31-07-2023,Summer Break
01-08-2023,Summer Break
02-08-2023,Summer Break
03-08-2023,Summer Break
04-08-2023,Summer Break
05-08-2023,Summer Break
06-08-2023,Summer Break
07-08-2023,Summer Break
08-08-2023,Summer Break
09-08-2023,Summer Break
10-08-2023,Summer Break
11-08-2023,Summer Break
12-08-2023,Summer Break
13-08-2023,Summer Break
14-08-2023,Summer Break
15-08-2023,Summer Break
16-08-2023,Summer Break
17-08-2023,Summer Break
18-08-2023,Summer Break
19-08-2023,Summer Break
20-08-2023,Summer Break
21-08-2023,Summer Break
22-08-2023,Summer Break
23-08-2023,Summer Break
24-08-2023,Summer Break
25-08-2023,Summer Break
26-08-2023,Summer Break
27-08-2023,Summer Break
28-08-2023,Summer Break
