"","X.1","X","Timestamp","counter.1","counter.2","rain","temp","wetb","dewpt","vappr","rhum","msl","wdsp","wddir","ww","w","sun","vis","clht","clamt","NO2","date","hour","school_term","weekday_iso"
"1",1,1,"06-08-2023 18:00",646,1469,0,17.7,13,8.6,11.2,55,1022.7,13,290,2,11,0.9,40000,999,3,4.498,2023-08-06,18,0,7
"2",2,2,"06-08-2023 19:00",561,1342,0,17.4,12.5,7.7,10.6,53,1023.1,12,300,2,81,0.5,40000,999,3,8.257,2023-08-06,19,0,7
"3",3,3,"06-08-2023 20:00",456,1026,0,15.8,12.1,8.6,11.2,62,1023.4,10,300,2,11,0.1,40000,40,6,18.92333333,2023-08-06,20,0,7
"4",4,4,"06-08-2023 21:00",342,778,0,14.8,11.2,7.5,10.4,62,1023.7,10,300,2,11,0,40000,999,3,20.05333333,2023-08-06,21,0,7
"5",5,5,"06-08-2023 22:00",241,673,0,13.5,10.9,8.4,11,71,1024.1,4,260,2,11,0,40000,999,1,19.938,2023-08-06,22,0,7
"6",6,6,"06-08-2023 23:00",162,544,0,12.6,10.6,8.6,11.2,77,1024.2,6,300,2,11,0,40000,999,1,19.87433333,2023-08-06,23,0,7
"7",7,7,"07-08-2023 00:00",127,462,0,12,10.4,8.9,11.3,81,1024.1,5,280,2,11,0,40000,999,1,19.56633333,2023-08-07,0,0,1
"8",8,8,"07-08-2023 01:00",105,346,0,11.2,10.1,9,11.5,86,1023.9,4,270,2,11,0,40000,999,2,18.07933333,2023-08-07,1,0,1
"9",9,9,"07-08-2023 02:00",86,265,0,11.7,10.5,9.3,11.7,85,1023.8,4,280,2,11,0,40000,999,3,15.372,2023-08-07,2,0,1
"10",10,10,"07-08-2023 03:00",64,226,0,11.4,10.1,8.8,11.3,84,1023.4,5,280,2,11,0,35000,36,5,14.13793103,2023-08-07,3,0,1
"11",11,11,"07-08-2023 04:00",29,187,0,11.4,10,8.6,11.2,83,1023.2,5,290,2,11,0,35000,999,3,13.52633333,2023-08-07,4,0,1
"12",12,12,"07-08-2023 05:00",25,186,0,11.8,10,8.2,10.8,78,1022.5,4,280,2,11,0,35000,42,7,11.21466667,2023-08-07,5,0,1
"13",13,13,"07-08-2023 06:00",102,300,0,11.2,9.7,8.2,10.8,81,1022.8,2,250,2,11,0,40000,40,7,9.776,2023-08-07,6,0,1
"14",14,14,"07-08-2023 07:00",191,415,0,10.9,9.9,8.8,11.4,87,1022.4,2,240,2,11,0,45000,40,7,12.88866667,2023-08-07,7,0,1
"15",15,15,"07-08-2023 08:00",306,489,0,11.4,10.3,9.2,11.6,86,1022.1,2,200,2,11,0,40000,37,7,8.324285714,2023-08-07,8,0,1
"16",16,16,"07-08-2023 09:00",423,775,0,12.4,10.8,9.2,11.7,81,1022.1,3,240,2,11,0,40000,39,7,6.340769231,2023-08-07,9,0,1
"17",17,17,"07-08-2023 10:00",495,1126,0,13.2,11.6,10.1,12.4,82,1021.9,4,200,2,11,0,40000,42,7,4.994,2023-08-07,10,0,1
"18",18,18,"07-08-2023 11:00",633,1423,0,14.6,12.2,10.1,12.3,74,1021.6,5,200,2,11,0.1,40000,44,7,5.367,2023-08-07,11,0,1
"19",19,19,"07-08-2023 12:00",686,1747,0,14.3,12.8,11.5,13.6,83,1021.2,8,200,25,82,0,40000,45,7,5.663214286,2023-08-07,12,0,1
"20",20,20,"07-08-2023 13:00",606,1742,0,14.2,12.5,11,13.1,81,1020.9,10,200,2,82,0.1,40000,20,7,9.098846154,2023-08-07,13,0,1
"21",21,21,"07-08-2023 14:00",633,1950,0,14.2,12.3,10.5,12.8,79,1020.5,11,210,2,11,0,30000,50,7,8.592413793,2023-08-07,14,0,1
"22",22,22,"07-08-2023 15:00",590,1965,0,14.8,12.8,11.1,13.2,78,1020,10,210,2,11,0,30000,60,7,7.567333333,2023-08-07,15,0,1
"23",23,23,"07-08-2023 16:00",612,1726,0,15,13.2,11.7,13.7,81,1019.7,8,180,2,11,0,30000,16,7,8.567666667,2023-08-07,16,0,1
"24",24,24,"07-08-2023 17:00",559,1782,0,14.4,12.9,11.6,13.7,83,1019.5,8,180,2,11,0,30000,14,7,10.11733333,2023-08-07,17,0,1
"25",25,25,"07-08-2023 18:00",487,1571,0,13.8,12.6,11.5,13.6,86,1018.7,7,170,2,11,0,25000,11,7,14.66833333,2023-08-07,18,0,1
"26",26,26,"07-08-2023 19:00",463,1426,0.1,12.8,12.6,12.4,14.4,98,1018,8,140,58,65,0,6000,3,7,19.70166667,2023-08-07,19,0,1
"27",27,27,"07-08-2023 20:00",342,993,1.6,13.1,13,12.9,14.9,99,1017.4,7,120,58,65,0,1500,3,7,19.53833333,2023-08-07,20,0,1
"28",28,28,"07-08-2023 21:00",273,670,0.8,13.5,13.4,13.3,15.3,99,1016.8,6,100,58,65,0,900,4,8,16.73666667,2023-08-07,21,0,1
